No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,159,256,110,22,1,1,,,549
2,5**,Percentage,2.0%,3.2%,1.4%,0.3%,0.0%,0.0%,,,6.9%
3,5*,Number,80,392,584,345,49,9,,,1459
4,5*,Percentage,1.0%,4.9%,7.4%,4.4%,0.6%,0.1%,,,18.4%
5,5,Number,10,153,627,855,381,85,11,,2122
6,5,Percentage,0.1%,1.9%,7.9%,10.8%,4.8%,1.1%,0.1%,,26.8%
7,4,Number,2,19,190,703,1056,631,133,20,2754
8,4,Percentage,0.0%,0.2%,2.4%,8.9%,13.3%,8.0%,1.7%,0.3%,34.8%
9,3,Number,,,2,20,127,338,237,79,803
10,3,Percentage,,,0.0%,0.3%,1.6%,4.3%,3.0%,1.0%,10.1%
11,2,Number,,,,1,4,29,89,98,221
12,2,Percentage,,,,0.0%,0.1%,0.4%,1.1%,1.2%,2.8%
13,1,Number,,,,,,,2,11,13
14,1,Percentage,,,,,,,0.0%,0.1%,0.2%
15,U,Number,,,,,,,,3,3
16,U,Percentage,,,,,,,,0.0%,0.0%
17,Total,Number,251,820,1513,1946,1618,1093,472,211,7924
18,Total,Percentage,3.2%,10.3%,19.1%,24.6%,20.4%,13.8%,6.0%,2.7%,100.0%
