行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,21131,20480,41611,23901,22675,46576
2,於中國語文科、英國語文科及數學科取得2級或以上，以及公民與社會發展科取得「達標」,人數,14536,15228,29764,16126,16603,32729
3,於中國語文科、英國語文科及數學科取得2級或以上，以及公民與社會發展科取得「達標」,百分比,68.8%,74.4%,71.5%,67.5%,73.2%,70.3%
4,於五科甲類學科中取得2級或以上,人數,16420,16761,33181,18310,18351,36661
5,於五科甲類學科中取得2級或以上,百分比,77.7%,81.8%,79.7%,76.6%,80.9%,78.7%
6,於五科甲類學科／乙類學科# 中取得2級或以上,人數,16485,16888,33373,18385,18492,36877
7,於五科甲類學科／乙類學科# 中取得2級或以上,百分比,78.0%,82.5%,80.2%,76.9%,81.6%,79.2%
8,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,人數,14759,15544,30303,16421,17003,33424
9,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,百分比,69.8%,75.9%,72.8%,68.7%,75.0%,71.8%
10,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,人數,14783,15593,30376,16448,17055,33503
11,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,百分比,70.0%,76.1%,73.0%,68.8%,75.2%,71.9%
12,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,14482,15107,29589,16114,16525,32639
13,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,68.5%,73.8%,71.1%,67.4%,72.9%,70.1%
14,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,14495,15125,29620,16128,16543,32671
15,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,68.6%,73.9%,71.2%,67.5%,73.0%,70.1%
