行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,159,256,110,22,1,1,,,549
2,5**,百分比,2.0%,3.2%,1.4%,0.3%,0.0%,0.0%,,,6.9%
3,5*,人數,80,392,584,345,49,9,,,1459
4,5*,百分比,1.0%,4.9%,7.4%,4.4%,0.6%,0.1%,,,18.4%
5,5,人數,10,153,627,855,381,85,11,,2122
6,5,百分比,0.1%,1.9%,7.9%,10.8%,4.8%,1.1%,0.1%,,26.8%
7,4,人數,2,19,190,703,1056,631,133,20,2754
8,4,百分比,0.0%,0.2%,2.4%,8.9%,13.3%,8.0%,1.7%,0.3%,34.8%
9,3,人數,,,2,20,127,338,237,79,803
10,3,百分比,,,0.0%,0.3%,1.6%,4.3%,3.0%,1.0%,10.1%
11,2,人數,,,,1,4,29,89,98,221
12,2,百分比,,,,0.0%,0.1%,0.4%,1.1%,1.2%,2.8%
13,1,人數,,,,,,,2,11,13
14,1,百分比,,,,,,,0.0%,0.1%,0.2%
15,U,人數,,,,,,,,3,3
16,U,百分比,,,,,,,,0.0%,0.0%
17,總數,人數,251,820,1513,1946,1618,1093,472,211,7924
18,總數,百分比,3.2%,10.3%,19.1%,24.6%,20.4%,13.8%,6.0%,2.7%,100.0%
