No.,Total no. of subjects at top levels / grades#,"Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - No. of Male","Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - % of Male","Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - No. of Female","Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - % of Female","Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - Total No.","Candidates with the corresponding results in Category A subjects (including Chinese Language, English Language and Mathematics Compulsory Part) - Total %",Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,7,1,0.0,0,0.0,1,0.0,1,0.0,0,0.0,1,0.0
2,6,11,0.1,5,0.0,16,0.0,12,0.1,5,0.0,17,0.0
3,5,0,0.0,6,0.0,6,0.0,20,0.1,14,0.1,34,0.1
4,4,3,0.0,1,0.0,4,0.0,66,0.3,25,0.1,91,0.2
5,3,2,0.0,3,0.0,5,0.0,92,0.5,67,0.3,159,0.4
6,2,0,0.0,0,0.0,0,0.0,225,1.1,125,0.6,350,0.9
7,1,0,0.0,0,0.0,0,0.0,675,3.4,660,3.4,1335,3.4
8,0,19592,99.9,19581,99.9,39173,99.9,18518,94.4,18700,95.4,37218,94.9
9,Total,19609,100.0,19596,100.0,39205,100.0,19609,100.0,19596,100.0,39205,100.0
