行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,21131,20480,41611,23901,22675,46576
2,五科取得5** 級,人數,33,19,52,33,20,53
3,五科取得5** 級,百分比,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%
4,五科取得5* 級或以上,人數,296,189,485,308,199,507
5,五科取得5* 級或以上,百分比,1.4%,0.9%,1.2%,1.3%,0.9%,1.1%
6,五科取得5 級或以上,人數,941,758,1699,989,825,1814
7,五科取得5 級或以上,百分比,4.5%,3.7%,4.1%,4.1%,3.6%,3.9%
8,五科取得4 級或以上,人數,3436,3560,6996,3676,3827,7503
9,五科取得4 級或以上,百分比,16.3%,17.4%,16.8%,15.4%,16.9%,16.1%
10,五科取得3 級或以上,人數,8153,8724,16877,8846,9402,18248
11,五科取得3 級或以上,百分比,38.6%,42.6%,40.6%,37.0%,41.5%,39.2%
12,五科取得2 級或以上,人數,16485,16888,33373,18385,18492,36877
13,五科取得2 級或以上,百分比,78.0%,82.5%,80.2%,76.9%,81.6%,79.2%
14,五科取得1 級或以上,人數,18748,18879,37627,21059,20787,41846
15,五科取得1 級或以上,百分比,88.7%,92.2%,90.4%,88.1%,91.7%,89.8%
16,四科取得1 級或以上,人數,19683,19597,39280,22162,21617,43779
17,四科取得1 級或以上,百分比,93.1%,95.7%,94.4%,92.7%,95.3%,94.0%
18,三科取得1 級或以上,人數,20242,19968,40210,22830,22053,44883
19,三科取得1 級或以上,百分比,95.8%,97.5%,96.6%,95.5%,97.3%,96.4%
20,兩科取得1 級或以上,人數,20621,20197,40818,23281,22336,45617
21,兩科取得1 級或以上,百分比,97.6%,98.6%,98.1%,97.4%,98.5%,97.9%
22,一科取得1 級或以上,人數,20942,20386,41328,23652,22562,46214
23,一科取得1 級或以上,百分比,99.1%,99.5%,99.3%,99.0%,99.5%,99.2%
