行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科# - 男生,日校考生應考最少五科甲類學科／乙類學科# - 女生,日校考生應考最少五科甲類學科／乙類學科# - 總數,全體考生應考最少五科甲類學科／乙類學科# - 男生,全體考生應考最少五科甲類學科／乙類學科# - 女生,全體考生應考最少五科甲類學科／乙類學科# - 總數
1,考生人數,人數,21145,20491,41636,23986,22715,46701
2,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,人數,14875,15691,30566,16569,17173,33742
3,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,百分比,70.3%,76.6%,73.4%,69.1%,75.6%,72.3%
