No.,Description,Type,Day school candidates taking at least five Category A / B subjects# - Male,Day school candidates taking at least five Category A / B subjects# - Female,Day school candidates taking at least five Category A / B subjects# - Total,All candidates taking at least five Category A / B subjects# - Male,All candidates taking at least five Category A / B subjects# - Female,All candidates taking at least five Category A / B subjects# - Total
1,No. of candidates,Number,21145,20491,41636,23986,22715,46701
2,"5 subjects with level 2+ in Category A subjects / ‘Attained’ or above in Category B subjects, including Chinese Language and English Language",Number,14875,15691,30566,16569,17173,33742
3,"5 subjects with level 2+ in Category A subjects / ‘Attained’ or above in Category B subjects, including Chinese Language and English Language",Percentage,70.3%,76.6%,73.4%,69.1%,75.6%,72.3%
