No.,Description,Type,Physical Disabilities,Visual Disabilities,Aural Disabilities,Oral Disabilities,Specific Learning Disabilities,Autism Spectrum Disorder,Attention Deficit / Hyperactivity Disorder,Mental Derangement,Other Disabilities #,Total
1,No. sat,Number,62,29,116,205,1760,415,559,785,67,3998
2,Five level 2 or above,Number,40,20,91,93,625,246,407,533,41,2096
3,Five level 3 or above,Number,21,14,46,22,73,111,157,200,18,662
4,Five level 4 or above,Number,9,5,17,6,14,34,32,62,9,188
5,Five level 5 or above,Number,1,3,8,2,0,4,2,12,3,35
6,Core subjects at 222A or better,Number,36,17,86,67,346,220,361,503,37,1673
7,"Core subjects at 222A or better, with one elective at level 2+",Number,35,17,82,67,338,216,358,470,37,1620
8,Core subjects at 332A or better,Number,26,16,54,22,74,114,194,334,20,854
9,"Core subjects at 332A or better, with one elective at level 2+",Number,26,16,53,22,73,113,194,320,20,837
10,"Core subjects at 332A or better, with one elective at level 3+",Number,24,16,51,21,70,109,182,283,19,775
