No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,229,324,167,32,4,1,,,757
2,5**,Percentage,2.3%,3.3%,1.7%,0.3%,0.0%,0.0%,,,7.6%
3,5*,Number,94,491,755,457,83,16,2,,1898
4,5*,Percentage,0.9%,4.9%,7.6%,4.6%,0.8%,0.2%,0.0%,,19.0%
5,5,Number,13,175,755,1044,513,118,16,1,2635
6,5,Percentage,0.1%,1.8%,7.6%,10.5%,5.1%,1.2%,0.2%,0.0%,26.4%
7,4,Number,3,22,220,821,1246,803,195,47,3357
8,4,Percentage,0.0%,0.2%,2.2%,8.2%,12.5%,8.1%,2.0%,0.5%,33.7%
9,3,Number,1,,2,21,159,393,291,117,984
10,3,Percentage,0.0%,,0.0%,0.2%,1.6%,3.9%,2.9%,1.2%,9.9%
11,2,Number,,,,1,5,37,113,153,309
12,2,Percentage,,,,0.0%,0.1%,0.4%,1.1%,1.5%,3.1%
13,1,Number,,,,,,2,2,19,23
14,1,Percentage,,,,,,0.0%,0.0%,0.2%,0.2%
15,U,Number,,,,,,,,6,6
16,U,Percentage,,,,,,,,0.1%,0.1%
17,Total,Number,340,1012,1899,2376,2010,1370,619,343,9969
18,Total,Percentage,3.4%,10.2%,19.0%,23.8%,20.2%,13.7%,6.2%,3.4%,100.0%
