行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數
1,考生人數,人數,21712,20877,42589,28217,25678,53895
2,於核心科目中取得「332A」或更佳成績,人數,8739,10364,19103,9573,11190,20763
3,於核心科目中取得「332A」或更佳成績,百分比,40.2%,49.6%,44.9%,33.9%,43.6%,38.5%
4,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2級或以上# 成績,人數,8726,10328,19054,9552,11138,20690
5,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2級或以上# 成績,百分比,40.2%,49.5%,44.7%,33.9%,43.4%,38.4%
6,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得2級或以上# 成績,人數,8434,9924,18358,9130,10650,19780
7,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得2級或以上# 成績,百分比,38.8%,47.5%,43.1%,32.4%,41.5%,36.7%
8,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,8531,9913,18444,9326,10684,20010
9,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,39.3%,47.5%,43.3%,33.1%,41.6%,37.1%
10,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,7767,8680,16447,8405,9320,17725
11,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,35.8%,41.6%,38.6%,29.8%,36.3%,32.9%
12,於核心科目中取得「333A」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,8104,8971,17075,8862,9699,18561
13,於核心科目中取得「333A」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,37.3%,43.0%,40.1%,31.4%,37.8%,34.4%
14,於核心科目中取得「333A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,7474,8079,15553,8088,8689,16777
15,於核心科目中取得「333A」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,34.4%,38.7%,36.5%,28.7%,33.8%,31.1%
16,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得4級或以上# 成績,人數,7256,7712,14968,7935,8318,16253
17,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得4級或以上# 成績,百分比,33.4%,36.9%,35.1%,28.1%,32.4%,30.2%
18,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得4級或以上# 成績,人數,5551,5346,10897,6027,5763,11790
19,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得4級或以上# 成績,百分比,25.6%,25.6%,25.6%,21.4%,22.4%,21.9%
20,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得5級或以上成績,人數,4232,3631,7863,4679,3944,8623
21,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得5級或以上成績,百分比,19.5%,17.4%,18.5%,16.6%,15.4%,16.0%
22,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得5級或以上成績,人數,2537,1796,4333,2754,1971,4725
23,於核心科目中取得「332A」或更佳成績，並於兩個選修科目取得5級或以上成績,百分比,11.7%,8.6%,10.2%,9.8%,7.7%,8.8%
24,於核心科目中取得「332A」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,3579,2071,5650,4015,2357,6372
25,於核心科目中取得「332A」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,16.5%,9.9%,13.3%,14.2%,9.2%,11.8%
26,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,3288,1816,5104,3686,2070,5756
27,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,15.1%,8.7%,12.0%,13.1%,8.1%,10.7%
28,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,人數,3276,1800,5076,3673,2054,5727
29,於核心科目中取得「332A」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,百分比,15.1%,8.6%,11.9%,13.0%,8.0%,10.6%
