行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (中國語文、英國語文、數學必修部分及兩個選修科目) - 總數,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 男生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 女生,日校考生應考最少五科甲類學科／乙類學科及公民與社會發展科取得「達標」成績 (任何五科#) - 總數
1,考生人數,人數,18271,18567,36838,18271,18567,36838
2,最佳五科總積點 12 – 14,人數,363,703,1066,357,695,1052
3,最佳五科總積點 12 – 14,百分比,2.0%,3.8%,2.9%,2.0%,3.7%,2.9%
4,最佳五科總積點 15 – 17,人數,1727,2495,4222,1685,2451,4136
5,最佳五科總積點 15 – 17,百分比,9.5%,13.4%,11.5%,9.2%,13.2%,11.2%
6,最佳五科總積點 18 – 20,人數,2501,2984,5485,2346,2901,5247
7,最佳五科總積點 18 – 20,百分比,13.7%,16.1%,14.9%,12.8%,15.6%,14.2%
8,最佳五科總積點 21 – 23,人數,1853,1985,3838,1859,2001,3860
9,最佳五科總積點 21 – 23,百分比,10.1%,10.7%,10.4%,10.2%,10.8%,10.5%
10,最佳五科總積點 24 – 26,人數,1070,1038,2108,1050,1059,2109
11,最佳五科總積點 24 – 26,百分比,5.9%,5.6%,5.7%,5.7%,5.7%,5.7%
12,最佳五科總積點 27 – 29,人數,574,479,1053,635,519,1154
13,最佳五科總積點 27 – 29,百分比,3.1%,2.6%,2.9%,3.5%,2.8%,3.1%
14,最佳五科總積點 30 – 32,人數,264,181,445,347,210,557
15,最佳五科總積點 30 – 32,百分比,1.4%,1.0%,1.2%,1.9%,1.1%,1.5%
16,最佳五科總積點 33 – 35,人數,82,59,141,155,88,243
17,最佳五科總積點 33 – 35,百分比,0.4%,0.3%,0.4%,0.8%,0.5%,0.7%
