行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數
1,5**,人數,229,324,167,32,4,1,,,757
2,5**,百分比,2.3%,3.3%,1.7%,0.3%,0.0%,0.0%,,,7.6%
3,5*,人數,94,491,755,457,83,16,2,,1898
4,5*,百分比,0.9%,4.9%,7.6%,4.6%,0.8%,0.2%,0.0%,,19.0%
5,5,人數,13,175,755,1044,513,118,16,1,2635
6,5,百分比,0.1%,1.8%,7.6%,10.5%,5.1%,1.2%,0.2%,0.0%,26.4%
7,4,人數,3,22,220,821,1246,803,195,47,3357
8,4,百分比,0.0%,0.2%,2.2%,8.2%,12.5%,8.1%,2.0%,0.5%,33.7%
9,3,人數,1,,2,21,159,393,291,117,984
10,3,百分比,0.0%,,0.0%,0.2%,1.6%,3.9%,2.9%,1.2%,9.9%
11,2,人數,,,,1,5,37,113,153,309
12,2,百分比,,,,0.0%,0.1%,0.4%,1.1%,1.5%,3.1%
13,1,人數,,,,,,2,2,19,23
14,1,百分比,,,,,,0.0%,0.0%,0.2%,0.2%
15,U,人數,,,,,,,,6,6
16,U,百分比,,,,,,,,0.1%,0.1%
17,總數,人數,340,1012,1899,2376,2010,1370,619,343,9969
18,總數,百分比,3.4%,10.2%,19.0%,23.8%,20.2%,13.7%,6.2%,3.4%,100.0%
