行號,項目,類別,肢體活動能力障礙,視障,聽障,語障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,62,29,116,205,1760,415,559,785,67,3998
2,五科取得2 級或以上,人數,40,20,91,93,625,246,407,533,41,2096
3,五科取得3 級或以上,人數,21,14,46,22,73,111,157,200,18,662
4,五科取得4 級或以上,人數,9,5,17,6,14,34,32,62,9,188
5,五科取得5 級或以上,人數,1,3,8,2,0,4,2,12,3,35
6,於核心科目中取得「222A」或更佳成績,人數,36,17,86,67,346,220,361,503,37,1673
7,於核心科目中取得「222A」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,35,17,82,67,338,216,358,470,37,1620
8,於核心科目中取得「332A」或更佳成績,人數,26,16,54,22,74,114,194,334,20,854
9,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,26,16,53,22,73,113,194,320,20,837
10,於核心科目中取得「332A」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,24,16,51,21,70,109,182,283,19,775
