No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,29,27,2,23,4
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,7.4%,85.2%,14.8%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,38,37,16,35,2
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,43.2%,94.6%,5.4%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,67,64,18,58,6
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,28.1%,90.6%,9.4%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,8,4,0,3,1
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,0.0%,75.0%,25.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,9,8,0,7,1
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,0.0%,87.5%,12.5%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,17,12,0,10,2
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,0.0%,83.3%,16.7%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,14,12,5,11,1
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,41.7%,91.7%,8.3%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,26,26,9,21,5
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,34.6%,80.8%,19.2%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,40,38,14,32,6
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,36.8%,84.2%,15.8%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,51,43,7,37,6
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,16.3%,86.0%,14.0%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,73,71,25,63,8
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,35.2%,88.7%,11.3%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,124,114,32,100,14
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,28.1%,87.7%,12.3%
