No.,Subject,Gender,Type,No. Entered,No. Sat,Performance - a,Performance - b+,Performance - c+,Performance - d+,Performance - e+,Performance - U
1,French Language,Male,Number,16,14,2,4,5,8,10,4
2,French Language,Male,Percentage,,,14.3%,28.6%,35.7%,57.1%,71.4%,28.6%
3,French Language,Female,Number,20,19,6,9,11,13,16,3
4,French Language,Female,Percentage,,,31.6%,47.4%,57.9%,68.4%,84.2%,15.8%
5,French Language,Total,Number,36,33,8,13,16,21,26,7
6,French Language,Total,Percentage,,,24.2%,39.4%,48.5%,63.6%,78.8%,21.2%
7,German Language,Male,Number,3,3,1,1,2,3,3,0
8,German Language,Male,Percentage,,,33.3%,33.3%,66.7%,100.0%,100.0%,0.0%
9,German Language,Female,Number,2,2,2,2,2,2,2,0
10,German Language,Female,Percentage,,,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%
11,German Language,Total,Number,5,5,3,3,4,5,5,0
12,German Language,Total,Percentage,,,60.0%,60.0%,80.0%,100.0%,100.0%,0.0%
13,Hindi Language,Male,Number,3,2,0,0,0,0,0,2
14,Hindi Language,Male,Percentage,,,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
15,Hindi Language,Female,Number,10,10,0,2,5,6,7,3
16,Hindi Language,Female,Percentage,,,0.0%,20.0%,50.0%,60.0%,70.0%,30.0%
17,Hindi Language,Total,Number,13,12,0,2,5,6,7,5
18,Hindi Language,Total,Percentage,,,0.0%,16.7%,41.7%,50.0%,58.3%,41.7%
19,Japanese Language,Male,Number,303,262,105,144,184,211,231,31
20,Japanese Language,Male,Percentage,,,40.1%,55.0%,70.2%,80.5%,88.2%,11.8%
21,Japanese Language,Female,Number,416,375,160,237,280,307,334,41
22,Japanese Language,Female,Percentage,,,42.7%,63.2%,74.7%,81.9%,89.1%,10.9%
23,Japanese Language,Total,Number,719,637,265,381,464,518,565,72
24,Japanese Language,Total,Percentage,,,41.6%,59.8%,72.8%,81.3%,88.7%,11.3%
25,Spanish Language,Male,Number,14,10,5,7,8,9,10,0
26,Spanish Language,Male,Percentage,,,50.0%,70.0%,80.0%,90.0%,100.0%,0.0%
27,Spanish Language,Female,Number,18,14,2,3,6,8,12,2
28,Spanish Language,Female,Percentage,,,14.3%,21.4%,42.9%,57.1%,85.7%,14.3%
29,Spanish Language,Total,Number,32,24,7,10,14,17,22,2
30,Spanish Language,Total,Percentage,,,29.2%,41.7%,58.3%,70.8%,91.7%,8.3%
31,Urdu Language,Male,Number,43,38,11,15,20,23,27,11
32,Urdu Language,Male,Percentage,,,28.9%,39.5%,52.6%,60.5%,71.1%,28.9%
33,Urdu Language,Female,Number,40,37,19,22,26,28,31,6
34,Urdu Language,Female,Percentage,,,51.4%,59.5%,70.3%,75.7%,83.8%,16.2%
35,Urdu Language,Total,Number,83,75,30,37,46,51,58,17
36,Urdu Language,Total,Percentage,,,40.0%,49.3%,61.3%,68.0%,77.3%,22.7%
37,All Category C subjects,Male,Number,382,329,124,171,219,254,281,48
38,All Category C subjects,Male,Percentage,,,37.7%,52.0%,66.6%,77.2%,85.4%,14.6%
39,All Category C subjects,Female,Number,506,457,189,275,330,364,402,55
40,All Category C subjects,Female,Percentage,,,41.4%,60.2%,72.2%,79.6%,88.0%,12.0%
41,All Category C subjects,Total,Number,888,786,313,446,549,618,683,103
42,All Category C subjects,Total,Percentage,,,39.8%,56.7%,69.8%,78.6%,86.9%,13.1%
