No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Learning (Vocational English),English Communication,Male,Number,193,172,15,50,140,32
2,Applied Learning (Vocational English),English Communication,Male,Percentage,,,8.7%,29.1%,81.4%,18.6%
3,Applied Learning (Vocational English),English Communication,Female,Number,176,166,22,68,153,13
4,Applied Learning (Vocational English),English Communication,Female,Percentage,,,13.3%,41.0%,92.2%,7.8%
5,Applied Learning (Vocational English),English Communication,Total,Number,369,338,37,118,293,45
6,Applied Learning (Vocational English),English Communication,Total,Percentage,,,10.9%,34.9%,86.7%,13.3%
7,Applied Learning (Vocational English),English for Business Services,Male,Number,153,150,22,64,126,24
8,Applied Learning (Vocational English),English for Business Services,Male,Percentage,,,14.7%,42.7%,84.0%,16.0%
9,Applied Learning (Vocational English),English for Business Services,Female,Number,55,53,11,20,48,5
10,Applied Learning (Vocational English),English for Business Services,Female,Percentage,,,20.8%,37.7%,90.6%,9.4%
11,Applied Learning (Vocational English),English for Business Services,Total,Number,208,203,33,84,174,29
12,Applied Learning (Vocational English),English for Business Services,Total,Percentage,,,16.3%,41.4%,85.7%,14.3%
13,Applied Learning (Vocational English),English for Service Professionals,Male,Number,398,372,25,107,290,82
14,Applied Learning (Vocational English),English for Service Professionals,Male,Percentage,,,6.7%,28.8%,78.0%,22.0%
15,Applied Learning (Vocational English),English for Service Professionals,Female,Number,334,320,45,108,266,54
16,Applied Learning (Vocational English),English for Service Professionals,Female,Percentage,,,14.1%,33.8%,83.1%,16.9%
17,Applied Learning (Vocational English),English for Service Professionals,Total,Number,732,692,70,215,556,136
18,Applied Learning (Vocational English),English for Service Professionals,Total,Percentage,,,10.1%,31.1%,80.3%,19.7%
19,Applied Science,Animal Care,Male,Number,12,12,2,6,12,0
20,Applied Science,Animal Care,Male,Percentage,,,16.7%,50.0%,100.0%,0.0%
21,Applied Science,Animal Care,Female,Number,43,42,9,28,42,0
22,Applied Science,Animal Care,Female,Percentage,,,21.4%,66.7%,100.0%,0.0%
23,Applied Science,Animal Care,Total,Number,55,54,11,34,54,0
24,Applied Science,Animal Care,Total,Percentage,,,20.4%,63.0%,100.0%,0.0%
25,Applied Science,Applied Psychology,Male,Number,136,126,9,36,112,14
26,Applied Science,Applied Psychology,Male,Percentage,,,7.1%,28.6%,88.9%,11.1%
27,Applied Science,Applied Psychology,Female,Number,157,149,36,89,146,3
28,Applied Science,Applied Psychology,Female,Percentage,,,24.2%,59.7%,98.0%,2.0%
29,Applied Science,Applied Psychology,Total,Number,293,275,45,125,258,17
30,Applied Science,Applied Psychology,Total,Percentage,,,16.4%,45.5%,93.8%,6.2%
31,Applied Science,Exercise and Fitness Coaching,Male,Number,195,153,2,18,131,22
32,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,1.3%,11.8%,85.6%,14.4%
33,Applied Science,Exercise and Fitness Coaching,Female,Number,42,34,3,8,30,4
34,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,8.8%,23.5%,88.2%,11.8%
35,Applied Science,Exercise and Fitness Coaching,Total,Number,237,187,5,26,161,26
36,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,2.7%,13.9%,86.1%,13.9%
37,Applied Science,Exercise Science and Health Fitness,Male,Number,69,63,2,12,53,10
38,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,3.2%,19.0%,84.1%,15.9%
39,Applied Science,Exercise Science and Health Fitness,Female,Number,24,22,4,9,22,0
40,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,18.2%,40.9%,100.0%,0.0%
41,Applied Science,Exercise Science and Health Fitness,Total,Number,93,85,6,21,75,10
42,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,7.1%,24.7%,88.2%,11.8%
43,Applied Science,Food Innovation and Science,Male,Number,18,16,0,4,10,6
44,Applied Science,Food Innovation and Science,Male,Percentage,,,0.0%,25.0%,62.5%,37.5%
45,Applied Science,Food Innovation and Science,Female,Number,18,18,3,7,18,0
46,Applied Science,Food Innovation and Science,Female,Percentage,,,16.7%,38.9%,100.0%,0.0%
47,Applied Science,Food Innovation and Science,Total,Number,36,34,3,11,28,6
48,Applied Science,Food Innovation and Science,Total,Percentage,,,8.8%,32.4%,82.4%,17.6%
49,Applied Science,Foundation in Chinese Medicine,Male,Number,105,99,7,19,62,37
50,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,7.1%,19.2%,62.6%,37.4%
51,Applied Science,Foundation in Chinese Medicine,Female,Number,98,97,15,45,86,11
52,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,15.5%,46.4%,88.7%,11.3%
53,Applied Science,Foundation in Chinese Medicine,Total,Number,203,196,22,64,148,48
54,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,11.2%,32.7%,75.5%,24.5%
55,Applied Science,Health Care Practice,Male,Number,169,167,11,35,142,25
56,Applied Science,Health Care Practice,Male,Percentage,,,6.6%,21.0%,85.0%,15.0%
57,Applied Science,Health Care Practice,Female,Number,168,161,22,61,150,11
58,Applied Science,Health Care Practice,Female,Percentage,,,13.7%,37.9%,93.2%,6.8%
59,Applied Science,Health Care Practice,Total,Number,337,328,33,96,292,36
