No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,30,28,2,24,4
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,7.1%,85.7%,14.3%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,38,37,16,35,2
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,43.2%,94.6%,5.4%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,68,65,18,59,6
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,27.7%,90.8%,9.2%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,13,9,1,8,1
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,11.1%,88.9%,11.1%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,17,16,2,14,2
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,12.5%,87.5%,12.5%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,30,25,3,22,3
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,12.0%,88.0%,12.0%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,15,13,5,12,1
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,38.5%,92.3%,7.7%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,26,26,9,21,5
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,34.6%,80.8%,19.2%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,41,39,14,33,6
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,35.9%,84.6%,15.4%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,58,50,8,44,6
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,16.0%,88.0%,12.0%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,81,79,27,70,9
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,34.2%,88.6%,11.4%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,139,129,35,114,15
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,27.1%,88.4%,11.6%
