行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,29,27,2,23,4
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,7.4%,85.2%,14.8%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,38,37,16,35,2
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,43.2%,94.6%,5.4%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,67,64,18,58,6
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,28.1%,90.6%,9.4%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,8,4,0,3,1
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,0.0%,75.0%,25.0%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,9,8,0,7,1
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,0.0%,87.5%,12.5%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,17,12,0,10,2
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,0.0%,83.3%,16.7%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,14,12,5,11,1
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,41.7%,91.7%,8.3%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,26,26,9,21,5
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,34.6%,80.8%,19.2%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,40,38,14,32,6
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,36.8%,84.2%,15.8%
19,應用學習中文 (非華語學生適用),,男生,人數,51,43,7,37,6
20,應用學習中文 (非華語學生適用),,男生,百分比,,,16.3%,86.0%,14.0%
21,應用學習中文 (非華語學生適用),,女生,人數,73,71,25,63,8
22,應用學習中文 (非華語學生適用),,女生,百分比,,,35.2%,88.7%,11.3%
23,應用學習中文 (非華語學生適用),,總數,人數,124,114,32,100,14
24,應用學習中文 (非華語學生適用),,總數,百分比,,,28.1%,87.7%,12.3%
