行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,達標,未達標
1,公民與社會發展,,男生,人數,23110,22378,,20621,1757
2,公民與社會發展,,男生,百分比,,,89.0,92.1%,7.9%
3,公民與社會發展,,女生,人數,21817,21299,,20311,988
4,公民與社會發展,,女生,百分比,,,82.6,95.4%,4.6%
5,公民與社會發展,,總數,人數,44927,43677,,40932,2745
6,公民與社會發展,,總數,百分比,,,85.9,93.7%,6.3%
