行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用學習 (職業英語),英文傳意,男生,人數,193,172,15,50,140,32
2,應用學習 (職業英語),英文傳意,男生,百分比,,,8.7%,29.1%,81.4%,18.6%
3,應用學習 (職業英語),英文傳意,女生,人數,176,166,22,68,153,13
4,應用學習 (職業英語),英文傳意,女生,百分比,,,13.3%,41.0%,92.2%,7.8%
5,應用學習 (職業英語),英文傳意,總數,人數,369,338,37,118,293,45
6,應用學習 (職業英語),英文傳意,總數,百分比,,,10.9%,34.9%,86.7%,13.3%
7,應用學習 (職業英語),商用服務英語,男生,人數,153,150,22,64,126,24
8,應用學習 (職業英語),商用服務英語,男生,百分比,,,14.7%,42.7%,84.0%,16.0%
9,應用學習 (職業英語),商用服務英語,女生,人數,55,53,11,20,48,5
10,應用學習 (職業英語),商用服務英語,女生,百分比,,,20.8%,37.7%,90.6%,9.4%
11,應用學習 (職業英語),商用服務英語,總數,人數,208,203,33,84,174,29
12,應用學習 (職業英語),商用服務英語,總數,百分比,,,16.3%,41.4%,85.7%,14.3%
13,應用學習 (職業英語),服務業專業英語,男生,人數,398,372,25,107,290,82
14,應用學習 (職業英語),服務業專業英語,男生,百分比,,,6.7%,28.8%,78.0%,22.0%
15,應用學習 (職業英語),服務業專業英語,女生,人數,334,320,45,108,266,54
16,應用學習 (職業英語),服務業專業英語,女生,百分比,,,14.1%,33.8%,83.1%,16.9%
17,應用學習 (職業英語),服務業專業英語,總數,人數,732,692,70,215,556,136
18,應用學習 (職業英語),服務業專業英語,總數,百分比,,,10.1%,31.1%,80.3%,19.7%
19,應用科學,動物護理,男生,人數,12,12,2,6,12,0
20,應用科學,動物護理,男生,百分比,,,16.7%,50.0%,100.0%,0.0%
21,應用科學,動物護理,女生,人數,43,42,9,28,42,0
22,應用科學,動物護理,女生,百分比,,,21.4%,66.7%,100.0%,0.0%
23,應用科學,動物護理,總數,人數,55,54,11,34,54,0
24,應用科學,動物護理,總數,百分比,,,20.4%,63.0%,100.0%,0.0%
25,應用科學,應用心理學,男生,人數,136,126,9,36,112,14
26,應用科學,應用心理學,男生,百分比,,,7.1%,28.6%,88.9%,11.1%
27,應用科學,應用心理學,女生,人數,157,149,36,89,146,3
28,應用科學,應用心理學,女生,百分比,,,24.2%,59.7%,98.0%,2.0%
29,應用科學,應用心理學,總數,人數,293,275,45,125,258,17
30,應用科學,應用心理學,總數,百分比,,,16.4%,45.5%,93.8%,6.2%
31,應用科學,運動及體適能教練,男生,人數,195,153,2,18,131,22
32,應用科學,運動及體適能教練,男生,百分比,,,1.3%,11.8%,85.6%,14.4%
33,應用科學,運動及體適能教練,女生,人數,42,34,3,8,30,4
34,應用科學,運動及體適能教練,女生,百分比,,,8.8%,23.5%,88.2%,11.8%
35,應用科學,運動及體適能教練,總數,人數,237,187,5,26,161,26
36,應用科學,運動及體適能教練,總數,百分比,,,2.7%,13.9%,86.1%,13.9%
37,應用科學,運動科學及體適能,男生,人數,69,63,2,12,53,10
38,應用科學,運動科學及體適能,男生,百分比,,,3.2%,19.0%,84.1%,15.9%
39,應用科學,運動科學及體適能,女生,人數,24,22,4,9,22,0
40,應用科學,運動科學及體適能,女生,百分比,,,18.2%,40.9%,100.0%,0.0%
41,應用科學,運動科學及體適能,總數,人數,93,85,6,21,75,10
42,應用科學,運動科學及體適能,總數,百分比,,,7.1%,24.7%,88.2%,11.8%
43,應用科學,食品創新與科學,男生,人數,18,16,0,4,10,6
44,應用科學,食品創新與科學,男生,百分比,,,0.0%,25.0%,62.5%,37.5%
45,應用科學,食品創新與科學,女生,人數,18,18,3,7,18,0
46,應用科學,食品創新與科學,女生,百分比,,,16.7%,38.9%,100.0%,0.0%
47,應用科學,食品創新與科學,總數,人數,36,34,3,11,28,6
48,應用科學,食品創新與科學,總數,百分比,,,8.8%,32.4%,82.4%,17.6%
49,應用科學,中醫藥學基礎,男生,人數,105,99,7,19,62,37
50,應用科學,中醫藥學基礎,男生,百分比,,,7.1%,19.2%,62.6%,37.4%
51,應用科學,中醫藥學基礎,女生,人數,98,97,15,45,86,11
52,應用科學,中醫藥學基礎,女生,百分比,,,15.5%,46.4%,88.7%,11.3%
53,應用科學,中醫藥學基礎,總數,人數,203,196,22,64,148,48
54,應用科學,中醫藥學基礎,總數,百分比,,,11.2%,32.7%,75.5%,24.5%
55,應用科學,健康護理實務,男生,人數,169,167,11,35,142,25
56,應用科學,健康護理實務,男生,百分比,,,6.6%,21.0%,85.0%,15.0%
57,應用科學,健康護理實務,女生,人數,168,161,22,61,150,11
58,應用科學,健康護理實務,女生,百分比,,,13.7%,37.9%,93.2%,6.8%
59,應用科學,健康護理實務,總數,人數,337,328,33,96,292,36
60,應用科學,健康護理實務,總數,百分比,,,10.1%,29.3%,89.0%,11.0%
61,應用科學,醫務化驗科學,男生,人數,27,20,3,11,16,4
62,應用科學,醫務化驗科學,男生,百分比,,,15.0%,55.0%,80.0%,20.0%
63,應用科學,醫務化驗科學,女生,人數,50,42,14,28,31,11
64,應用科學,醫務化驗科學,女生,百分比,,,33.3%,66.7%,73.8%,26.2%
65,應用科學,醫務化驗科學,總數,人數,77,62,17,39,47,15
66,應用科學,醫務化驗科學,總數,百分比,,,27.4%,62.9%,75.8%,24.2%
67,應用科學,實用心理學,男生,人數,38,34,2,10,30,4
68,應用科學,實用心理學,男生,百分比,,,5.9%,29.4%,88.2%,11.8%
69,應用科學,實用心理學,女生,人數,72,68,17,40,66,2
70,應用科學,實用心理學,女生,百分比,,,25.0%,58.8%,97.1%,2.9%
71,應用科學,實用心理學,總數,人數,110,102,19,50,96,6
72,應用科學,實用心理學,總數,百分比,,,18.6%,49.0%,94.1%,5.9%
73,應用科學,復康護理實務,男生,人數,19,19,1,4,17,2
74,應用科學,復康護理實務,男生,百分比,,,5.3%,21.1%,89.5%,10.5%
75,應用科學,復康護理實務,女生,人數,46,42,5,12,39,3
76,應用科學,復康護理實務,女生,百分比,,,11.9%,28.6%,92.9%,7.1%
77,應用科學,復康護理實務,總數,人數,65,61,6,16,56,5
78,應用科學,復康護理實務,總數,百分比,,,9.8%,26.2%,91.8%,8.2%
79,商業、管理及法律,電子商務會計,男生,人數,67,63,5,23,45,18
80,商業、管理及法律,電子商務會計,男生,百分比,,,7.9%,36.5%,71.4%,28.6%
81,商業、管理及法律,電子商務會計,女生,人數,38,38,6,13,33,5
82,商業、管理及法律,電子商務會計,女生,百分比,,,15.8%,34.2%,86.8%,13.2%
83,商業、管理及法律,電子商務會計,總數,人數,105,101,11,36,78,23
84,商業、管理及法律,電子商務會計,總數,百分比,,,10.9%,35.6%,77.2%,22.8%
85,商業、管理及法律,人工智能－商業應用,男生,人數,0,0,-,-,-,-
86,商業、管理及法律,人工智能－商業應用,男生,百分比,,,-,-,-,-
87,商業、管理及法律,人工智能－商業應用,女生,人數,0,0,-,-,-,-
88,商業、管理及法律,人工智能－商業應用,女生,百分比,,,-,-,-,-
89,商業、管理及法律,人工智能－商業應用,總數,人數,0,0,-,-,-,-
90,商業、管理及法律,人工智能－商業應用,總數,百分比,,,-,-,-,-
91,商業、管理及法律,商業數據應用,男生,人數,9,6,1,2,5,1
92,商業、管理及法律,商業數據應用,男生,百分比,,,16.7%,33.3%,83.3%,16.7%
93,商業、管理及法律,商業數據應用,女生,人數,5,4,0,2,4,0
94,商業、管理及法律,商業數據應用,女生,百分比,,,0.0%,50.0%,100.0%,0.0%
95,商業、管理及法律,商業數據應用,總數,人數,14,10,1,4,9,1
96,商業、管理及法律,商業數據應用,總數,百分比,,,10.0%,40.0%,90.0%,10.0%
97,商業、管理及法律,香港執法實務,男生,人數,12,11,0,2,9,2
98,商業、管理及法律,香港執法實務,男生,百分比,,,0.0%,18.2%,81.8%,18.2%
99,商業、管理及法律,香港執法實務,女生,人數,16,16,3,5,16,0
100,商業、管理及法律,香港執法實務,女生,百分比,,,18.8%,31.3%,100.0%,0.0%
101,商業、管理及法律,香港執法實務,總數,人數,28,27,3,7,25,2
102,商業、管理及法律,香港執法實務,總數,百分比,,,11.1%,25.9%,92.6%,7.4%
103,商業、管理及法律,市場營銷及網上推廣,男生,人數,66,63,3,12,45,18
104,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,4.8%,19.0%,71.4%,28.6%
105,商業、管理及法律,市場營銷及網上推廣,女生,人數,62,61,8,29,56,5
106,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,13.1%,47.5%,91.8%,8.2%
107,商業、管理及法律,市場營銷及網上推廣,總數,人數,128,124,11,41,101,23
108,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,8.9%,33.1%,81.5%,18.5%
109,創意學習,電腦遊戲及動畫設計,男生,人數,291,278,20,76,238,40
110,創意學習,電腦遊戲及動畫設計,男生,百分比,,,7.2%,27.3%,85.6%,14.4%
111,創意學習,電腦遊戲及動畫設計,女生,人數,84,82,7,24,66,16
112,創意學習,電腦遊戲及動畫設計,女生,百分比,,,8.5%,29.3%,80.5%,19.5%
113,創意學習,電腦遊戲及動畫設計,總數,人數,375,360,27,100,304,56
114,創意學習,電腦遊戲及動畫設計,總數,百分比,,,7.5%,27.8%,84.4%,15.6%
115,創意學習,數碼漫畫設計與製作,男生,人數,76,62,0,5,57,5
116,創意學習,數碼漫畫設計與製作,男生,百分比,,,0.0%,8.1%,91.9%,8.1%
117,創意學習,數碼漫畫設計與製作,女生,人數,119,114,13,42,110,4
118,創意學習,數碼漫畫設計與製作,女生,百分比,,,11.4%,36.8%,96.5%,3.5%
119,創意學習,數碼漫畫設計與製作,總數,人數,195,176,13,47,167,9
120,創意學習,數碼漫畫設計與製作,總數,百分比,,,7.4%,26.7%,94.9%,5.1%
121,創意學習,時裝形象設計,男生,人數,51,49,0,3,48,1
122,創意學習,時裝形象設計,男生,百分比,,,0.0%,6.1%,98.0%,2.0%
123,創意學習,時裝形象設計,女生,人數,182,171,17,58,170,1
124,創意學習,時裝形象設計,女生,百分比,,,9.9%,33.9%,99.4%,0.6%
125,創意學習,時裝形象設計,總數,人數,233,220,17,61,218,2
126,創意學習,時裝形象設計,總數,百分比,,,7.7%,27.7%,99.1%,0.9%
127,創意學習,室內設計,男生,人數,64,56,2,8,40,16
128,創意學習,室內設計,男生,百分比,,,3.6%,14.3%,71.4%,28.6%
129,創意學習,室內設計,女生,人數,67,59,7,26,54,5
130,創意學習,室內設計,女生,百分比,,,11.9%,44.1%,91.5%,8.5%
131,創意學習,室內設計,總數,人數,131,115,9,34,94,21
132,創意學習,室內設計,總數,百分比,,,7.8%,29.6%,81.7%,18.3%
133,創意學習,數碼年代－珠寶設計,男生,人數,3,3,0,1,2,1
134,創意學習,數碼年代－珠寶設計,男生,百分比,,,0.0%,33.3%,66.7%,33.3%
135,創意學習,數碼年代－珠寶設計,女生,人數,11,10,1,4,9,1
136,創意學習,數碼年代－珠寶設計,女生,百分比,,,10.0%,40.0%,90.0%,10.0%
137,創意學習,數碼年代－珠寶設計,總數,人數,14,13,1,5,11,2
138,創意學習,數碼年代－珠寶設計,總數,百分比,,,7.7%,38.5%,84.6%,15.4%
139,創意學習,流行音樂製作,男生,人數,43,39,8,18,35,4
140,創意學習,流行音樂製作,男生,百分比,,,20.5%,46.2%,89.7%,10.3%
141,創意學習,流行音樂製作,女生,人數,62,60,9,24,58,2
142,創意學習,流行音樂製作,女生,百分比,,,15.0%,40.0%,96.7%,3.3%
143,創意學習,流行音樂製作,總數,人數,105,99,17,42,93,6
144,創意學習,流行音樂製作,總數,百分比,,,17.2%,42.4%,93.9%,6.1%
145,創意學習,舞出新機－舞蹈藝術,男生,人數,7,6,1,2,6,0
146,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,16.7%,33.3%,100.0%,0.0%
147,創意學習,舞出新機－舞蹈藝術,女生,人數,35,35,7,18,32,3
148,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,20.0%,51.4%,91.4%,8.6%
149,創意學習,舞出新機－舞蹈藝術,總數,人數,42,41,8,20,38,3
150,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,19.5%,48.8%,92.7%,7.3%
151,創意學習,由戲開始．劇藝縱橫,男生,人數,11,11,1,4,11,0
152,創意學習,由戲開始．劇藝縱橫,男生,百分比,,,9.1%,36.4%,100.0%,0.0%
153,創意學習,由戲開始．劇藝縱橫,女生,人數,49,42,6,22,42,0
154,創意學習,由戲開始．劇藝縱橫,女生,百分比,,,14.3%,52.4%,100.0%,0.0%
155,創意學習,由戲開始．劇藝縱橫,總數,人數,60,53,7,26,53,0
156,創意學習,由戲開始．劇藝縱橫,總數,百分比,,,13.2%,49.1%,100.0%,0.0%
157,工程及生產,人工智能與機械人,男生,人數,30,22,3,8,21,1
158,工程及生產,人工智能與機械人,男生,百分比,,,13.6%,36.4%,95.5%,4.5%
159,工程及生產,人工智能與機械人,女生,人數,13,10,2,7,10,0
160,工程及生產,人工智能與機械人,女生,百分比,,,20.0%,70.0%,100.0%,0.0%
161,工程及生產,人工智能與機械人,總數,人數,43,32,5,15,31,1
162,工程及生產,人工智能與機械人,總數,百分比,,,15.6%,46.9%,96.9%,3.1%
163,工程及生產,航空學,男生,人數,132,120,3,19,115,5
164,工程及生產,航空學,男生,百分比,,,2.5%,15.8%,95.8%,4.2%
165,工程及生產,航空學,女生,人數,49,46,2,4,40,6
166,工程及生產,航空學,女生,百分比,,,4.3%,8.7%,87.0%,13.0%
167,工程及生產,航空學,總數,人數,181,166,5,23,155,11
168,工程及生產,航空學,總數,百分比,,,3.0%,13.9%,93.4%,6.6%
169,工程及生產,電腦鑑證科技,男生,人數,5,5,0,1,5,0
170,工程及生產,電腦鑑證科技,男生,百分比,,,0.0%,20.0%,100.0%,0.0%
171,工程及生產,電腦鑑證科技,女生,人數,2,1,1,1,1,0
172,工程及生產,電腦鑑證科技,女生,百分比,,,100.0%,100.0%,100.0%,0.0%
173,工程及生產,電腦鑑證科技,總數,人數,7,6,1,2,6,0
174,工程及生產,電腦鑑證科技,總數,百分比,,,16.7%,33.3%,100.0%,0.0%
175,工程及生產,電機及能源工程,男生,人數,85,81,6,15,81,0
176,工程及生產,電機及能源工程,男生,百分比,,,7.4%,18.5%,100.0%,0.0%
177,工程及生產,電機及能源工程,女生,人數,7,7,2,4,7,0
178,工程及生產,電機及能源工程,女生,百分比,,,28.6%,57.1%,100.0%,0.0%
179,工程及生產,電機及能源工程,總數,人數,92,88,8,19,88,0
