No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Attained,Unattained
1,Citizenship and Social Development,,Male,Number,20744,20369,,18881,1488
2,Citizenship and Social Development,,Male,Percentage,,,88.5,92.7%,7.3%
3,Citizenship and Social Development,,Female,Number,20019,19735,,18870,865
4,Citizenship and Social Development,,Female,Percentage,,,81.6,95.6%,4.4%
5,Citizenship and Social Development,,Total,Number,40763,40104,,37751,2353
6,Citizenship and Social Development,,Total,Percentage,,,85.1,94.1%,5.9%
