No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
1,Applied Learning (Vocational English),English Communication,Male,Number,158,138,13,45,118,20
2,Applied Learning (Vocational English),English Communication,Male,Percentage,,,9.4%,32.6%,85.5%,14.5%
3,Applied Learning (Vocational English),English Communication,Female,Number,143,133,21,57,124,9
4,Applied Learning (Vocational English),English Communication,Female,Percentage,,,15.8%,42.9%,93.2%,6.8%
5,Applied Learning (Vocational English),English Communication,Total,Number,301,271,34,102,242,29
6,Applied Learning (Vocational English),English Communication,Total,Percentage,,,12.5%,37.6%,89.3%,10.7%
7,Applied Learning (Vocational English),English for Business Services,Male,Number,152,149,22,64,125,24
8,Applied Learning (Vocational English),English for Business Services,Male,Percentage,,,14.8%,43.0%,83.9%,16.1%
9,Applied Learning (Vocational English),English for Business Services,Female,Number,55,53,11,20,48,5
10,Applied Learning (Vocational English),English for Business Services,Female,Percentage,,,20.8%,37.7%,90.6%,9.4%
11,Applied Learning (Vocational English),English for Business Services,Total,Number,207,202,33,84,173,29
12,Applied Learning (Vocational English),English for Business Services,Total,Percentage,,,16.3%,41.6%,85.6%,14.4%
13,Applied Learning (Vocational English),English for Service Professionals,Male,Number,339,314,24,97,249,65
14,Applied Learning (Vocational English),English for Service Professionals,Male,Percentage,,,7.6%,30.9%,79.3%,20.7%
15,Applied Learning (Vocational English),English for Service Professionals,Female,Number,292,279,45,100,228,51
16,Applied Learning (Vocational English),English for Service Professionals,Female,Percentage,,,16.1%,35.8%,81.7%,18.3%
17,Applied Learning (Vocational English),English for Service Professionals,Total,Number,631,593,69,197,477,116
18,Applied Learning (Vocational English),English for Service Professionals,Total,Percentage,,,11.6%,33.2%,80.4%,19.6%
19,Applied Science,Animal Care,Male,Number,12,12,2,6,12,0
20,Applied Science,Animal Care,Male,Percentage,,,16.7%,50.0%,100.0%,0.0%
21,Applied Science,Animal Care,Female,Number,42,41,9,27,41,0
22,Applied Science,Animal Care,Female,Percentage,,,22.0%,65.9%,100.0%,0.0%
23,Applied Science,Animal Care,Total,Number,54,53,11,33,53,0
24,Applied Science,Animal Care,Total,Percentage,,,20.8%,62.3%,100.0%,0.0%
25,Applied Science,Applied Psychology,Male,Number,120,111,9,34,98,13
26,Applied Science,Applied Psychology,Male,Percentage,,,8.1%,30.6%,88.3%,11.7%
27,Applied Science,Applied Psychology,Female,Number,143,135,31,81,134,1
28,Applied Science,Applied Psychology,Female,Percentage,,,23.0%,60.0%,99.3%,0.7%
29,Applied Science,Applied Psychology,Total,Number,263,246,40,115,232,14
30,Applied Science,Applied Psychology,Total,Percentage,,,16.3%,46.7%,94.3%,5.7%
31,Applied Science,Exercise and Fitness Coaching,Male,Number,163,128,2,17,114,14
32,Applied Science,Exercise and Fitness Coaching,Male,Percentage,,,1.6%,13.3%,89.1%,10.9%
33,Applied Science,Exercise and Fitness Coaching,Female,Number,39,31,3,8,27,4
34,Applied Science,Exercise and Fitness Coaching,Female,Percentage,,,9.7%,25.8%,87.1%,12.9%
35,Applied Science,Exercise and Fitness Coaching,Total,Number,202,159,5,25,141,18
36,Applied Science,Exercise and Fitness Coaching,Total,Percentage,,,3.1%,15.7%,88.7%,11.3%
37,Applied Science,Exercise Science and Health Fitness,Male,Number,66,62,2,12,52,10
38,Applied Science,Exercise Science and Health Fitness,Male,Percentage,,,3.2%,19.4%,83.9%,16.1%
39,Applied Science,Exercise Science and Health Fitness,Female,Number,24,22,4,9,22,0
40,Applied Science,Exercise Science and Health Fitness,Female,Percentage,,,18.2%,40.9%,100.0%,0.0%
41,Applied Science,Exercise Science and Health Fitness,Total,Number,90,84,6,21,74,10
42,Applied Science,Exercise Science and Health Fitness,Total,Percentage,,,7.1%,25.0%,88.1%,11.9%
43,Applied Science,Food Innovation and Science,Male,Number,18,16,0,4,10,6
44,Applied Science,Food Innovation and Science,Male,Percentage,,,0.0%,25.0%,62.5%,37.5%
45,Applied Science,Food Innovation and Science,Female,Number,17,17,3,7,17,0
46,Applied Science,Food Innovation and Science,Female,Percentage,,,17.6%,41.2%,100.0%,0.0%
47,Applied Science,Food Innovation and Science,Total,Number,35,33,3,11,27,6
48,Applied Science,Food Innovation and Science,Total,Percentage,,,9.1%,33.3%,81.8%,18.2%
49,Applied Science,Foundation in Chinese Medicine,Male,Number,56,55,7,18,44,11
50,Applied Science,Foundation in Chinese Medicine,Male,Percentage,,,12.7%,32.7%,80.0%,20.0%
51,Applied Science,Foundation in Chinese Medicine,Female,Number,88,87,15,42,80,7
52,Applied Science,Foundation in Chinese Medicine,Female,Percentage,,,17.2%,48.3%,92.0%,8.0%
53,Applied Science,Foundation in Chinese Medicine,Total,Number,144,142,22,60,124,18
54,Applied Science,Foundation in Chinese Medicine,Total,Percentage,,,15.5%,42.3%,87.3%,12.7%
55,Applied Science,Health Care Practice,Male,Number,160,158,11,33,133,25
56,Applied Science,Health Care Practice,Male,Percentage,,,7.0%,20.9%,84.2%,15.8%
57,Applied Science,Health Care Practice,Female,Number,157,152,21,59,141,11
58,Applied Science,Health Care Practice,Female,Percentage,,,13.8%,38.8%,92.8%,7.2%
59,Applied Science,Health Care Practice,Total,Number,317,310,32,92,274,36
60,Applied Science,Health Care Practice,Total,Percentage,,,10.3%,29.7%,88.4%,11.6%
61,Applied Science,Medical Laboratory Science,Male,Number,26,19,3,10,15,4
62,Applied Science,Medical Laboratory Science,Male,Percentage,,,15.8%,52.6%,78.9%,21.1%
63,Applied Science,Medical Laboratory Science,Female,Number,46,38,14,28,31,7
64,Applied Science,Medical Laboratory Science,Female,Percentage,,,36.8%,73.7%,81.6%,18.4%
65,Applied Science,Medical Laboratory Science,Total,Number,72,57,17,38,46,11
66,Applied Science,Medical Laboratory Science,Total,Percentage,,,29.8%,66.7%,80.7%,19.3%
67,Applied Science,Practical Psychology,Male,Number,35,32,2,10,29,3
68,Applied Science,Practical Psychology,Male,Percentage,,,6.3%,31.3%,90.6%,9.4%
69,Applied Science,Practical Psychology,Female,Number,71,67,17,40,65,2
70,Applied Science,Practical Psychology,Female,Percentage,,,25.4%,59.7%,97.0%,3.0%
71,Applied Science,Practical Psychology,Total,Number,106,99,19,50,94,5
72,Applied Science,Practical Psychology,Total,Percentage,,,19.2%,50.5%,94.9%,5.1%
73,Applied Science,Rehabilitation Care Practice,Male,Number,19,19,1,4,17,2
74,Applied Science,Rehabilitation Care Practice,Male,Percentage,,,5.3%,21.1%,89.5%,10.5%
75,Applied Science,Rehabilitation Care Practice,Female,Number,41,38,5,11,35,3
76,Applied Science,Rehabilitation Care Practice,Female,Percentage,,,13.2%,28.9%,92.1%,7.9%
77,Applied Science,Rehabilitation Care Practice,Total,Number,60,57,6,15,52,5
78,Applied Science,Rehabilitation Care Practice,Total,Percentage,,,10.5%,26.3%,91.2%,8.8%
79,"Business, Management and Law",Accounting for e-Business,Male,Number,65,62,5,23,45,17
80,"Business, Management and Law",Accounting for e-Business,Male,Percentage,,,8.1%,37.1%,72.6%,27.4%
81,"Business, Management and Law",Accounting for e-Business,Female,Number,38,38,6,13,33,5
82,"Business, Management and Law",Accounting for e-Business,Female,Percentage,,,15.8%,34.2%,86.8%,13.2%
83,"Business, Management and Law",Accounting for e-Business,Total,Number,103,100,11,36,78,22
84,"Business, Management and Law",Accounting for e-Business,Total,Percentage,,,11.0%,36.0%,78.0%,22.0%
85,"Business, Management and Law",AI in Business,Male,Number,0,0,-,-,-,-
86,"Business, Management and Law",AI in Business,Male,Percentage,,,-,-,-,-
87,"Business, Management and Law",AI in Business,Female,Number,0,0,-,-,-,-
88,"Business, Management and Law",AI in Business,Female,Percentage,,,-,-,-,-
89,"Business, Management and Law",AI in Business,Total,Number,0,0,-,-,-,-
90,"Business, Management and Law",AI in Business,Total,Percentage,,,-,-,-,-
91,"Business, Management and Law",Data Application for Business,Male,Number,8,5,1,2,4,1
92,"Business, Management and Law",Data Application for Business,Male,Percentage,,,20.0%,40.0%,80.0%,20.0%
93,"Business, Management and Law",Data Application for Business,Female,Number,4,3,0,2,3,0
94,"Business, Management and Law",Data Application for Business,Female,Percentage,,,0.0%,66.7%,100.0%,0.0%
95,"Business, Management and Law",Data Application for Business,Total,Number,12,8,1,4,7,1
96,"Business, Management and Law",Data Application for Business,Total,Percentage,,,12.5%,50.0%,87.5%,12.5%
97,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,11,10,0,2,8,2
98,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,0.0%,20.0%,80.0%,20.0%
99,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,15,15,3,5,15,0
100,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,20.0%,33.3%,100.0%,0.0%
101,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,26,25,3,7,23,2
102,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,12.0%,28.0%,92.0%,8.0%
103,"Business, Management and Law",Marketing and Online Promotion,Male,Number,65,62,3,12,44,18
104,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,4.8%,19.4%,71.0%,29.0%
105,"Business, Management and Law",Marketing and Online Promotion,Female,Number,60,59,8,28,54,5
106,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,13.6%,47.5%,91.5%,8.5%
107,"Business, Management and Law",Marketing and Online Promotion,Total,Number,125,121,11,40,98,23
108,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,9.1%,33.1%,81.0%,19.0%
109,Creative Studies,Computer Game and Animation Design,Male,Number,258,247,20,72,213,34
110,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,8.1%,29.1%,86.2%,13.8%
111,Creative Studies,Computer Game and Animation Design,Female,Number,69,69,7,21,54,15
112,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,10.1%,30.4%,78.3%,21.7%
113,Creative Studies,Computer Game and Animation Design,Total,Number,327,316,27,93,267,49
114,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,8.5%,29.4%,84.5%,15.5%
115,Creative Studies,Digital Comic Design and Production,Male,Number,72,58,0,5,54,4
116,Creative Studies,Digital Comic Design and Production,Male,Percentage,,,0.0%,8.6%,93.1%,6.9%
