行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用學習 (職業英語),英文傳意,男生,人數,158,138,13,45,118,20
2,應用學習 (職業英語),英文傳意,男生,百分比,,,9.4%,32.6%,85.5%,14.5%
3,應用學習 (職業英語),英文傳意,女生,人數,143,133,21,57,124,9
4,應用學習 (職業英語),英文傳意,女生,百分比,,,15.8%,42.9%,93.2%,6.8%
5,應用學習 (職業英語),英文傳意,總數,人數,301,271,34,102,242,29
6,應用學習 (職業英語),英文傳意,總數,百分比,,,12.5%,37.6%,89.3%,10.7%
7,應用學習 (職業英語),商用服務英語,男生,人數,152,149,22,64,125,24
8,應用學習 (職業英語),商用服務英語,男生,百分比,,,14.8%,43.0%,83.9%,16.1%
9,應用學習 (職業英語),商用服務英語,女生,人數,55,53,11,20,48,5
10,應用學習 (職業英語),商用服務英語,女生,百分比,,,20.8%,37.7%,90.6%,9.4%
11,應用學習 (職業英語),商用服務英語,總數,人數,207,202,33,84,173,29
12,應用學習 (職業英語),商用服務英語,總數,百分比,,,16.3%,41.6%,85.6%,14.4%
13,應用學習 (職業英語),服務業專業英語,男生,人數,339,314,24,97,249,65
14,應用學習 (職業英語),服務業專業英語,男生,百分比,,,7.6%,30.9%,79.3%,20.7%
15,應用學習 (職業英語),服務業專業英語,女生,人數,292,279,45,100,228,51
16,應用學習 (職業英語),服務業專業英語,女生,百分比,,,16.1%,35.8%,81.7%,18.3%
17,應用學習 (職業英語),服務業專業英語,總數,人數,631,593,69,197,477,116
18,應用學習 (職業英語),服務業專業英語,總數,百分比,,,11.6%,33.2%,80.4%,19.6%
19,應用科學,動物護理,男生,人數,12,12,2,6,12,0
20,應用科學,動物護理,男生,百分比,,,16.7%,50.0%,100.0%,0.0%
21,應用科學,動物護理,女生,人數,42,41,9,27,41,0
22,應用科學,動物護理,女生,百分比,,,22.0%,65.9%,100.0%,0.0%
23,應用科學,動物護理,總數,人數,54,53,11,33,53,0
24,應用科學,動物護理,總數,百分比,,,20.8%,62.3%,100.0%,0.0%
25,應用科學,應用心理學,男生,人數,120,111,9,34,98,13
26,應用科學,應用心理學,男生,百分比,,,8.1%,30.6%,88.3%,11.7%
27,應用科學,應用心理學,女生,人數,143,135,31,81,134,1
28,應用科學,應用心理學,女生,百分比,,,23.0%,60.0%,99.3%,0.7%
