行號,"考生考獲最高等
級成績的總科數",在甲類、乙類或丙類科目考獲有關成績的考生 - 男生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 男生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生人數,在甲類、乙類或丙類科目考獲有關成績的考生 - 女生百分比,在甲類、乙類或丙類科目考獲有關成績的考生 - 總數,在甲類、乙類或丙類科目考獲有關成績的考生 - 總百分比,在甲類科目考獲有關成績的考生 - 男生人數,在甲類科目考獲有關成績的考生 - 男生百分比,在甲類科目考獲有關成績的考生 - 女生人數,在甲類科目考獲有關成績的考生 - 女生百分比,在甲類科目考獲有關成績的考生 - 總數,在甲類科目考獲有關成績的考生 - 總百分比
1,8,1,0.0 ,0,0.0 ,1,0.0 ,1,0.0 ,0,0.0 ,1,0.0 
2,7,6,0.0 ,4,0.0 ,10,0.0 ,6,0.0 ,4,0.0 ,10,0.0 
3,6,15,0.1 ,13,0.0 ,28,0.0 ,15,0.1 ,13,0.0 ,28,0.0 
4,5,32,0.1 ,16,0.1 ,48,0.1 ,31,0.1 ,16,0.1 ,47,0.1 
5,4,35,0.1 ,39,0.1 ,74,0.1 ,35,0.1 ,38,0.1 ,73,0.1 
6,3,115,0.4 ,87,0.3 ,202,0.4 ,110,0.4 ,84,0.3 ,194,0.3 
7,2,203,0.7 ,218,0.8 ,421,0.7 ,206,0.7 ,210,0.7 ,416,0.7 
8,1,987,3.4 ,1190,4.2 ,2177,3.8 ,841,2.9 ,865,3.1 ,1706,3.0 
9,0,27943,95.2 ,26745,94.5 ,54688,94.9 ,28013,95.7 ,27019,95.6 ,55032,95.7 
10,總數,29337,100.0 ,28312,100.0 ,57649,100.0 ,29258,100.0 ,28249,100.0 ,57507,100.0 
