行號,數學必修部分成績,類別,數學延伸部分成績 - 5**,數學延伸部分成績 - 5*,數學延伸部分成績 - 5,數學延伸部分成績 - 4,數學延伸部分成績 - 3,數學延伸部分成績 - 2,數學延伸部分成績 - 1,數學延伸部分成績 - U,總數,,,,,,,,,,
1,5**,人數,173,227,170,36,10,,,,616,,,,,,,,,,
2,5**,百分比,2.3%,3.0%,2.3%,0.5%,0.1%,,,,8.2%,,,,,,,,,,
3,5*,人數,79,334,611,299,104,8,3,,1438,,,,,,,,,,
4,5*,百分比,1.1%,4.5%,8.2%,4.0%,1.4%,0.1%,0.0%,,19.2%,,,,,,,,,,
5,5,人數,14,145,537,735,399,99,20,3,1952,,,,,,,,,,
6,5,百分比,0.2%,1.9%,7.2%,9.8%,5.3%,1.3%,0.3%,0.0%,26.1%,,,,,,,,,,
7,4,人數,,25,183,713,913,643,221,48,2746,,,,,,,,,,
8,4,百分比,,0.3%,2.4%,9.5%,12.2%,8.6%,3.0%,0.6%,36.7%,,,,,,,,,,
9,3,人數,,,2,11,83,194,195,112,597,,,,,,,,,,
10,3,百分比,,,0.0%,0.1%,1.1%,2.6%,2.6%,1.5%,8.0%,,,,,,,,,,
11,2,人數,1,,,,1,7,38,67,114,,,,,,,,,,
12,2,百分比,0.0%,,,,0.0%,0.1%,0.5%,0.9%,1.5%,,,,,,,,,,
13,1,人數,,,,,,,,16,16,,,,,,,,,,
14,1,百分比,,,,,,,,0.2%,0.2%,,,,,,,,,,
15,U,人數,,1,,,,,,1,2,,,,,,,,,,
16,U,百分比,,0.0%,,,,,,0.0%,0.0%,,,,,,,,,,
17,總數,人數,267,732,1503,1794,1510,951,477,247,7481,,,,,,,,,,
18,總數,百分比,3.6%,9.8%,20.1%,24.0%,20.2%,12.7%,6.4%,3.3%,100.0%,,,,,,,,,,
