行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),服務業中文,男生,人數,53,52,15,46,6
2,應用學習中文 (非華語學生適用),服務業中文,男生,百分比,,,28.8%,88.5%,11.5%
3,應用學習中文 (非華語學生適用),服務業中文,女生,人數,38,38,11,36,2
4,應用學習中文 (非華語學生適用),服務業中文,女生,百分比,,,28.9%,94.7%,5.3%
5,應用學習中文 (非華語學生適用),服務業中文,總數,人數,91,90,26,82,8
6,應用學習中文 (非華語學生適用),服務業中文,總數,百分比,,,28.9%,91.1%,8.9%
7,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,15,15,3,15,0
8,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,20.0%,100.0%,0.0%
9,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,33,33,9,33,0
10,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,27.3%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,48,48,12,48,0
12,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,25.0%,100.0%,0.0%
13,應用學習中文 (非華語學生適用),款待實務中文,男生,人數,23,23,2,19,4
14,應用學習中文 (非華語學生適用),款待實務中文,男生,百分比,,,8.7%,82.6%,17.4%
15,應用學習中文 (非華語學生適用),款待實務中文,女生,人數,17,17,3,12,5
16,應用學習中文 (非華語學生適用),款待實務中文,女生,百分比,,,17.6%,70.6%,29.4%
17,應用學習中文 (非華語學生適用),款待實務中文,總數,人數,40,40,5,31,9
18,應用學習中文 (非華語學生適用),款待實務中文,總數,百分比,,,12.5%,77.5%,22.5%
19,應用學習中文 (非華語學生適用),,男生,人數,91,90,20,80,10
20,應用學習中文 (非華語學生適用),,男生,百分比,,,22.2%,88.9%,11.1%
21,應用學習中文 (非華語學生適用),,女生,人數,88,88,23,81,7
22,應用學習中文 (非華語學生適用),,女生,百分比,,,26.1%,92.0%,8.0%
23,應用學習中文 (非華語學生適用),,總數,人數,179,178,43,161,17
24,應用學習中文 (非華語學生適用),,總數,百分比,,,24.2%,90.4%,9.6%
