行號,科目,性別,類別,報考人數,出席人數,表現 - a,表現 - b+,表現 - c+,表現 - d+,表現 - e+,表現 - U
1,法語,男生,人數,19,18,3,5,8,11,12,6
2,法語,男生,百分比,,,16.7%,27.8%,44.4%,61.1%,66.7%,33.3%
3,法語,女生,人數,41,40,7,8,13,20,28,12
4,法語,女生,百分比,,,17.5%,20.0%,32.5%,50.0%,70.0%,30.0%
5,法語,總數,人數,60,58,10,13,21,31,40,18
6,法語,總數,百分比,,,17.2%,22.4%,36.2%,53.4%,69.0%,31.0%
7,德語,男生,人數,1,1,0,0,0,0,1,0
8,德語,男生,百分比,,,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
9,德語,女生,人數,4,3,1,3,3,3,3,0
10,德語,女生,百分比,,,33.3%,100.0%,100.0%,100.0%,100.0%,0.0%
11,德語,總數,人數,5,4,1,3,3,3,4,0
12,德語,總數,百分比,,,25.0%,75.0%,75.0%,75.0%,100.0%,0.0%
13,印地語,男生,人數,3,0,-,-,-,-,-,-
14,印地語,男生,百分比,,,-,-,-,-,-,-
15,印地語,女生,人數,10,10,1,5,6,6,6,4
16,印地語,女生,百分比,,,10.0%,50.0%,60.0%,60.0%,60.0%,40.0%
17,印地語,總數,人數,13,10,1,5,6,6,6,4
18,印地語,總數,百分比,,,10.0%,50.0%,60.0%,60.0%,60.0%,40.0%
19,日語,男生,人數,121,111,55,75,91,103,105,6
20,日語,男生,百分比,,,49.5%,67.6%,82.0%,92.8%,94.6%,5.4%
21,日語,女生,人數,234,224,121,171,197,206,216,8
22,日語,女生,百分比,,,54.0%,76.3%,87.9%,92.0%,96.4%,3.6%
23,日語,總數,人數,355,335,176,246,288,309,321,14
24,日語,總數,百分比,,,52.5%,73.4%,86.0%,92.2%,95.8%,4.2%
25,西班牙語,男生,人數,7,7,1,3,4,5,6,1
26,西班牙語,男生,百分比,,,14.3%,42.9%,57.1%,71.4%,85.7%,14.3%
27,西班牙語,女生,人數,7,7,3,3,3,5,6,1
28,西班牙語,女生,百分比,,,42.9%,42.9%,42.9%,71.4%,85.7%,14.3%
29,西班牙語,總數,人數,14,14,4,6,7,10,12,2
30,西班牙語,總數,百分比,,,28.6%,42.9%,50.0%,71.4%,85.7%,14.3%
31,烏爾都語,男生,人數,16,13,4,6,8,9,9,4
32,烏爾都語,男生,百分比,,,30.8%,46.2%,61.5%,69.2%,69.2%,30.8%
33,烏爾都語,女生,人數,14,14,9,11,11,11,13,1
34,烏爾都語,女生,百分比,,,64.3%,78.6%,78.6%,78.6%,92.9%,7.1%
35,烏爾都語,總數,人數,30,27,13,17,19,20,22,5
36,烏爾都語,總數,百分比,,,48.1%,63.0%,70.4%,74.1%,81.5%,18.5%
37,所有丙類學科,男生,人數,167,150,63,89,111,128,133,17
38,所有丙類學科,男生,百分比,,,42.0%,59.3%,74.0%,85.3%,88.7%,11.3%
39,所有丙類學科,女生,人數,310,298,142,201,233,251,272,26
40,所有丙類學科,女生,百分比,,,47.7%,67.4%,78.2%,84.2%,91.3%,8.7%
41,所有丙類學科,總數,人數,477,448,205,290,344,379,405,43
42,所有丙類學科,總數,百分比,,,45.8%,64.7%,76.8%,84.6%,90.4%,9.6%
