行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5707,5421,,112,427,1058,2435,3810,4778,5214,207
2,生物,,男生,百分比,,,41.5,2.1%,7.9%,19.5%,44.9%,70.3%,88.1%,96.2%,3.8%
3,生物,,女生,人數,7670,7403,,120,544,1364,3384,5349,6727,7250,153
4,生物,,女生,百分比,,,35.4,1.6%,7.3%,18.4%,45.7%,72.3%,90.9%,97.9%,2.1%
5,生物,,總數,人數,13377,12824,,232,971,2422,5819,9159,11505,12464,360
6,生物,,總數,百分比,,,38,1.8%,7.6%,18.9%,45.4%,71.4%,89.7%,97.2%,2.8%
7,企業、會計與財務概論,會計,男生,人數,3278,3055,,52,195,460,1273,2050,2726,2984,71
8,企業、會計與財務概論,會計,男生,百分比,,,38.8,1.7%,6.4%,15.1%,41.7%,67.1%,89.2%,97.7%,2.3%
9,企業、會計與財務概論,會計,女生,人數,3977,3867,,44,206,540,1753,2797,3577,3798,69
10,企業、會計與財務概論,會計,女生,百分比,,,29.1,1.1%,5.3%,14.0%,45.3%,72.3%,92.5%,98.2%,1.8%
11,企業、會計與財務概論,會計,總數,人數,7255,6922,,96,401,1000,3026,4847,6303,6782,140
12,企業、會計與財務概論,會計,總數,百分比,,,33.4,1.4%,5.8%,14.4%,43.7%,70.0%,91.1%,98.0%,2.0%
13,企業、會計與財務概論,商業管理,男生,人數,1322,1228,,5,26,70,295,644,1018,1167,61
14,企業、會計與財務概論,商業管理,男生,百分比,,,76.2,0.4%,2.1%,5.7%,24.0%,52.4%,82.9%,95.0%,5.0%
15,企業、會計與財務概論,商業管理,女生,人數,1367,1304,,16,50,113,445,830,1172,1273,31
16,企業、會計與財務概論,商業管理,女生,百分比,,,68,1.2%,3.8%,8.7%,34.1%,63.7%,89.9%,97.6%,2.4%
17,企業、會計與財務概論,商業管理,總數,人數,2689,2532,,21,76,183,740,1474,2190,2440,92
18,企業、會計與財務概論,商業管理,總數,百分比,,,72,0.8%,3.0%,7.2%,29.2%,58.2%,86.5%,96.4%,3.6%
19,化學,,男生,人數,7061,6724,,207,744,1721,3400,5043,5837,6396,328
20,化學,,男生,百分比,,,28.2,3.1%,11.1%,25.6%,50.6%,75.0%,86.8%,95.1%,4.9%
21,化學,,女生,人數,5684,5502,,93,473,1285,2730,4158,4863,5302,200
22,化學,,女生,百分比,,,19.8,1.7%,8.6%,23.4%,49.6%,75.6%,88.4%,96.4%,3.6%
23,化學,,總數,人數,12745,12226,,300,1217,3006,6130,9201,10700,11698,528
24,化學,,總數,百分比,,,24.4,2.5%,10.0%,24.6%,50.1%,75.3%,87.5%,95.7%,4.3%
25,中國歷史,,男生,人數,2664,2460,,35,121,276,812,1546,2181,2356,104
26,中國歷史,,男生,百分比,,,-,1.4%,4.9%,11.2%,33.0%,62.8%,88.7%,95.8%,4.2%
27,中國歷史,,女生,人數,3372,3210,,40,175,450,1267,2266,2971,3162,48
28,中國歷史,,女生,百分比,,,-,1.2%,5.5%,14.0%,39.5%,70.6%,92.6%,98.5%,1.5%
29,中國歷史,,總數,人數,6036,5670,,75,296,726,2079,3812,5152,5518,152
30,中國歷史,,總數,百分比,,,-,1.3%,5.2%,12.8%,36.7%,67.2%,90.9%,97.3%,2.7%
31,中國語文,,男生,人數,24042,23235,,126,470,1318,4973,10645,18592,22042,1193
32,中國語文,,男生,百分比,,,-,0.5%,2.0%,5.7%,21.4%,45.8%,80.0%,94.9%,5.1%
33,中國語文,,女生,人數,23103,22579,,371,1405,3376,9582,15603,20785,22196,383
34,中國語文,,女生,百分比,,,-,1.6%,6.2%,15.0%,42.4%,69.1%,92.1%,98.3%,1.7%
35,中國語文,,總數,人數,47145,45814,,497,1875,4694,14555,26248,39377,44238,1576
36,中國語文,,總數,百分比,,,-,1.1%,4.1%,10.2%,31.8%,57.3%,85.9%,96.6%,3.4%
37,中國文學,,男生,人數,329,305,,7,12,31,67,160,246,290,15
38,中國文學,,男生,百分比,,,-,2.3%,3.9%,10.2%,22.0%,52.5%,80.7%,95.1%,4.9%
39,中國文學,,女生,人數,1091,1047,,11,62,149,391,725,952,1022,25
40,中國文學,,女生,百分比,,,-,1.1%,5.9%,14.2%,37.3%,69.2%,90.9%,97.6%,2.4%
41,中國文學,,總數,人數,1420,1352,,18,74,180,458,885,1198,1312,40
42,中國文學,,總數,百分比,,,-,1.3%,5.5%,13.3%,33.9%,65.5%,88.6%,97.0%,3.0%
43,設計與應用科技,,男生,人數,347,320,,1,2,8,36,70,190,274,46
44,設計與應用科技,,男生,百分比,,,94.7,0.3%,0.6%,2.5%,11.3%,21.9%,59.4%,85.6%,14.4%
