行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,達標,未達標
1,公民與社會發展,,男生,人數,21716,21419,,19609,1810
2,公民與社會發展,,男生,百分比,,,88.7,91.5%,8.5%
3,公民與社會發展,,女生,人數,20877,20643,,19596,1047
4,公民與社會發展,,女生,百分比,,,82.8,94.9%,5.1%
5,公民與社會發展,,總數,人數,42593,42062,,39205,2857
6,公民與社會發展,,總數,百分比,,,85.8,93.2%,6.8%
