No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,34,26,1,15,11
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,3.8%,57.7%,42.3%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,21,20,6,18,2
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,30.0%,90.0%,10.0%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,55,46,7,33,13
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,15.2%,71.7%,28.3%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,10,10,3,9,1
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,30.0%,90.0%,10.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,20,20,7,20,0
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,35.0%,100.0%,0.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,30,30,10,29,1
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,33.3%,96.7%,3.3%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,28,25,5,18,7
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,20.0%,72.0%,28.0%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,27,24,0,21,3
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,0.0%,87.5%,12.5%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,55,49,5,39,10
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,10.2%,79.6%,20.4%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,72,61,9,42,19
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,14.8%,68.9%,31.1%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,68,64,13,59,5
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,20.3%,92.2%,7.8%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,140,125,22,101,24
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,17.6%,80.8%,19.2%
