行號,科目,語言能力水平,性別,類別,報考人數,遞交成績人數,合格 - 第 6 級,合格 - 第 5 級,合格 - 第 4 級,合格 - 第 3 級,合格 - 小計,不合格
1,韓語,TOPIK II,男生,人數,4,4,0,2,1,0,3,1
2,韓語,TOPIK II,男生,百分比,,,0.0%,50.0%,25.0%,0.0%,75.0%,25.0%
3,韓語,TOPIK II,女生,人數,65,65,8,21,13,13,55,10
4,韓語,TOPIK II,女生,百分比,,,12.3%,32.3%,20.0%,20.0%,84.6%,15.4%
5,韓語,TOPIK II,總數,人數,69,69,8,23,14,13,58,11
6,韓語,TOPIK II,總數,百分比,,,11.6%,33.3%,20.3%,18.8%,84.1%,15.9%
