行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,6097,5925,,163,592,1380,3018,4477,5449,5742,183
2,生物,,男生,百分比,,,41.3,2.8%,10.0%,23.3%,50.9%,75.6%,92.0%,96.9%,3.1%
3,生物,,女生,人數,7562,7347,,99,455,1207,3149,5324,6778,7176,171
4,生物,,女生,百分比,,,37.0,1.3%,6.2%,16.4%,42.9%,72.5%,92.3%,97.7%,2.3%
5,生物,,總數,人數,13659,13272,,262,1047,2587,6167,9801,12227,12918,354
6,生物,,總數,百分比,,,38.9,2.0%,7.9%,19.5%,46.5%,73.8%,92.1%,97.3%,2.7%
7,企業、會計與財務概論,會計,男生,人數,3137,2984,,50,179,451,1261,2100,2700,2898,86
8,企業、會計與財務概論,會計,男生,百分比,,,42.6,1.7%,6.0%,15.1%,42.3%,70.4%,90.5%,97.1%,2.9%
9,企業、會計與財務概論,會計,女生,人數,3433,3309,,41,180,459,1437,2383,3060,3246,63
10,企業、會計與財務概論,會計,女生,百分比,,,34.1,1.2%,5.4%,13.9%,43.4%,72.0%,92.5%,98.1%,1.9%
11,企業、會計與財務概論,會計,總數,人數,6570,6293,,91,359,910,2698,4483,5760,6144,149
12,企業、會計與財務概論,會計,總數,百分比,,,38.1,1.4%,5.7%,14.5%,42.9%,71.2%,91.5%,97.6%,2.4%
13,企業、會計與財務概論,商業管理,男生,人數,1325,1271,,8,40,71,346,736,1110,1190,81
14,企業、會計與財務概論,商業管理,男生,百分比,,,72.4,0.6%,3.1%,5.6%,27.2%,57.9%,87.3%,93.6%,6.4%
15,企業、會計與財務概論,商業管理,女生,人數,1419,1378,,15,47,135,460,922,1259,1336,42
16,企業、會計與財務概論,商業管理,女生,百分比,,,73.4,1.1%,3.4%,9.8%,33.4%,66.9%,91.4%,97.0%,3.0%
17,企業、會計與財務概論,商業管理,總數,人數,2744,2649,,23,87,206,806,1658,2369,2526,123
18,企業、會計與財務概論,商業管理,總數,百分比,,,72.9,0.9%,3.3%,7.8%,30.4%,62.6%,89.4%,95.4%,4.6%
19,化學,,男生,人數,6993,6701,,230,830,1883,3647,5301,5955,6431,270
20,化學,,男生,百分比,,,28.1,3.4%,12.4%,28.1%,54.4%,79.1%,88.9%,96.0%,4.0%
21,化學,,女生,人數,5797,5552,,100,401,1137,2604,4156,4837,5318,234
22,化學,,女生,百分比,,,21.6,1.8%,7.2%,20.5%,46.9%,74.9%,87.1%,95.8%,4.2%
23,化學,,總數,人數,12790,12253,,330,1231,3020,6251,9457,10792,11749,504
24,化學,,總數,百分比,,,25.2,2.7%,10.0%,24.6%,51.0%,77.2%,88.1%,95.9%,4.1%
25,中國歷史,,男生,人數,2362,2230,,36,107,287,807,1444,1978,2123,107
26,中國歷史,,男生,百分比,,,-,1.6%,4.8%,12.9%,36.2%,64.8%,88.7%,95.2%,4.8%
27,中國歷史,,女生,人數,3426,3301,,39,192,481,1341,2352,3046,3211,90
28,中國歷史,,女生,百分比,,,-,1.2%,5.8%,14.6%,40.6%,71.3%,92.3%,97.3%,2.7%
29,中國歷史,,總數,人數,5788,5531,,75,299,768,2148,3796,5024,5334,197
30,中國歷史,,總數,百分比,,,-,1.4%,5.4%,13.9%,38.8%,68.6%,90.8%,96.4%,3.6%
31,中國語文,,男生,人數,21142,20962,,134,547,1485,5362,11916,17960,20104,858
32,中國語文,,男生,百分比,,,-,0.6%,2.6%,7.1%,25.6%,56.8%,85.7%,95.9%,4.1%
33,中國語文,,女生,人數,20288,20125,,311,1262,3027,8517,14757,18791,19814,311
34,中國語文,,女生,百分比,,,-,1.5%,6.3%,15.0%,42.3%,73.3%,93.4%,98.5%,1.5%
35,中國語文,,總數,人數,41430,41087,,445,1809,4512,13879,26673,36751,39918,1169
36,中國語文,,總數,百分比,,,-,1.1%,4.4%,11.0%,33.8%,64.9%,89.4%,97.2%,2.8%
37,中國文學,,男生,人數,280,264,,1,12,26,72,161,222,251,13
38,中國文學,,男生,百分比,,,-,0.4%,4.5%,9.8%,27.3%,61.0%,84.1%,95.1%,4.9%
39,中國文學,,女生,人數,981,960,,17,64,159,394,711,887,942,18
40,中國文學,,女生,百分比,,,-,1.8%,6.7%,16.6%,41.0%,74.1%,92.4%,98.1%,1.9%
41,中國文學,,總數,人數,1261,1224,,18,76,185,466,872,1109,1193,31
42,中國文學,,總數,百分比,,,-,1.5%,6.2%,15.1%,38.1%,71.2%,90.6%,97.5%,2.5%
43,設計與應用科技,,男生,人數,365,342,,2,7,17,63,128,270,311,31
