行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,7066,6711,,184,669,1547,3391,5031,6135,6486,225
2,生物,,男生,百分比,,,44.2,2.7%,10.0%,23.1%,50.5%,75.0%,91.4%,96.6%,3.4%
3,生物,,女生,人數,8541,8154,,112,501,1339,3472,5857,7489,7937,217
4,生物,,女生,百分比,,,40.3,1.4%,6.1%,16.4%,42.6%,71.8%,91.8%,97.3%,2.7%
5,生物,,總數,人數,15607,14865,,296,1170,2886,6863,10888,13624,14423,442
6,生物,,總數,百分比,,,42.1,2.0%,7.9%,19.4%,46.2%,73.2%,91.7%,97.0%,3.0%
7,企業、會計與財務概論,會計,男生,人數,3575,3326,,60,204,501,1387,2318,2984,3219,107
8,企業、會計與財務概論,會計,男生,百分比,,,44.3,1.8%,6.1%,15.1%,41.7%,69.7%,89.7%,96.8%,3.2%
9,企業、會計與財務概論,會計,女生,人數,3724,3535,,47,197,489,1511,2506,3236,3458,77
10,企業、會計與財務概論,會計,女生,百分比,,,35.5,1.3%,5.6%,13.8%,42.7%,70.9%,91.5%,97.8%,2.2%
11,企業、會計與財務概論,會計,總數,人數,7299,6861,,107,401,990,2898,4824,6220,6677,184
12,企業、會計與財務概論,會計,總數,百分比,,,39.8,1.6%,5.8%,14.4%,42.2%,70.3%,90.7%,97.3%,2.7%
13,企業、會計與財務概論,商業管理,男生,人數,1488,1404,,8,43,77,368,812,1232,1319,85
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.2,0.6%,3.1%,5.5%,26.2%,57.8%,87.7%,93.9%,6.1%
15,企業、會計與財務概論,商業管理,女生,人數,1611,1537,,16,52,141,489,1016,1405,1487,50
16,企業、會計與財務概論,商業管理,女生,百分比,,,75.2,1.0%,3.4%,9.2%,31.8%,66.1%,91.4%,96.7%,3.3%
17,企業、會計與財務概論,商業管理,總數,人數,3099,2941,,24,95,218,857,1828,2637,2806,135
18,企業、會計與財務概論,商業管理,總數,百分比,,,74.7,0.8%,3.2%,7.4%,29.1%,62.2%,89.7%,95.4%,4.6%
19,化學,,男生,人數,8547,7994,,283,994,2238,4326,6269,7051,7649,345
20,化學,,男生,百分比,,,34.1,3.5%,12.4%,28.0%,54.1%,78.4%,88.2%,95.7%,4.3%
21,化學,,女生,人數,6841,6408,,108,458,1310,2988,4746,5523,6095,313
22,化學,,女生,百分比,,,28.3,1.7%,7.1%,20.4%,46.6%,74.1%,86.2%,95.1%,4.9%
23,化學,,總數,人數,15388,14402,,391,1452,3548,7314,11015,12574,13744,658
24,化學,,總數,百分比,,,31.5,2.7%,10.1%,24.6%,50.8%,76.5%,87.3%,95.4%,4.6%
25,中國歷史,,男生,人數,2878,2642,,46,131,350,930,1681,2330,2514,128
26,中國歷史,,男生,百分比,,,-,1.7%,5.0%,13.2%,35.2%,63.6%,88.2%,95.2%,4.8%
27,中國歷史,,女生,人數,3913,3701,,42,205,519,1453,2571,3386,3587,114
28,中國歷史,,女生,百分比,,,-,1.1%,5.5%,14.0%,39.3%,69.5%,91.5%,96.9%,3.1%
29,中國歷史,,總數,人數,6791,6343,,88,336,869,2383,4252,5716,6101,242
30,中國歷史,,總數,百分比,,,-,1.4%,5.3%,13.7%,37.6%,67.0%,90.1%,96.2%,3.8%
31,中國語文,,男生,人數,25194,24585,,193,700,1812,6249,13761,20913,23509,1076
32,中國語文,,男生,百分比,,,-,0.8%,2.8%,7.4%,25.4%,56.0%,85.1%,95.6%,4.4%
33,中國語文,,女生,人數,23616,23121,,432,1589,3604,9769,16789,21508,22722,399
34,中國語文,,女生,百分比,,,-,1.9%,6.9%,15.6%,42.3%,72.6%,93.0%,98.3%,1.7%
