行號,科目,性別,類別,報考人數,遞交成績人數,合格,不合格
1,所有丙類學科,男生,人數,277,275,246,29
2,所有丙類學科,男生,百分比,,,89.5%,10.5%
3,所有丙類學科,女生,人數,421,420,355,65
4,所有丙類學科,女生,百分比,,,84.5%,15.5%
5,所有丙類學科,總數,人數,698,695,601,94
6,所有丙類學科,總數,百分比,,,86.5%,13.5%
