行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,達標,未達標
1,公民與社會發展,,男生,人數,24854,24258,,22095,2163
2,公民與社會發展,,男生,百分比,,,89.4,91.1%,8.9%
3,公民與社會發展,,女生,人數,23324,22883,,21654,1229
4,公民與社會發展,,女生,百分比,,,84.1,94.6%,5.4%
5,公民與社會發展,,總數,人數,48178,47141,,43749,3392
6,公民與社會發展,,總數,百分比,,,86.8,92.8%,7.2%
