行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),商業服務中文,男生,人數,34,26,1,15,11
2,應用學習中文 (非華語學生適用),商業服務中文,男生,百分比,,,3.8%,57.7%,42.3%
3,應用學習中文 (非華語學生適用),商業服務中文,女生,人數,21,20,6,18,2
4,應用學習中文 (非華語學生適用),商業服務中文,女生,百分比,,,30.0%,90.0%,10.0%
5,應用學習中文 (非華語學生適用),商業服務中文,總數,人數,55,46,7,33,13
6,應用學習中文 (非華語學生適用),商業服務中文,總數,百分比,,,15.2%,71.7%,28.3%
7,應用學習中文 (非華語學生適用),實用情境中文,男生,人數,10,10,3,9,1
8,應用學習中文 (非華語學生適用),實用情境中文,男生,百分比,,,30.0%,90.0%,10.0%
9,應用學習中文 (非華語學生適用),實用情境中文,女生,人數,20,20,7,20,0
10,應用學習中文 (非華語學生適用),實用情境中文,女生,百分比,,,35.0%,100.0%,0.0%
11,應用學習中文 (非華語學生適用),實用情境中文,總數,人數,30,30,10,29,1
12,應用學習中文 (非華語學生適用),實用情境中文,總數,百分比,,,33.3%,96.7%,3.3%
13,應用學習中文 (非華語學生適用),實務中文,男生,人數,28,25,5,18,7
14,應用學習中文 (非華語學生適用),實務中文,男生,百分比,,,20.0%,72.0%,28.0%
15,應用學習中文 (非華語學生適用),實務中文,女生,人數,27,24,0,21,3
16,應用學習中文 (非華語學生適用),實務中文,女生,百分比,,,0.0%,87.5%,12.5%
17,應用學習中文 (非華語學生適用),實務中文,總數,人數,55,49,5,39,10
18,應用學習中文 (非華語學生適用),實務中文,總數,百分比,,,10.2%,79.6%,20.4%
19,應用學習中文 (非華語學生適用),,男生,人數,72,61,9,42,19
20,應用學習中文 (非華語學生適用),,男生,百分比,,,14.8%,68.9%,31.1%
21,應用學習中文 (非華語學生適用),,女生,人數,68,64,13,59,5
22,應用學習中文 (非華語學生適用),,女生,百分比,,,20.3%,92.2%,7.8%
23,應用學習中文 (非華語學生適用),,總數,人數,140,125,22,101,24
24,應用學習中文 (非華語學生適用),,總數,百分比,,,17.6%,80.8%,19.2%
