No.,Subject,Gender,Type,No. Entered,No. of candidates with results submitted,Pass,Not Pass
1,All Category C subjects,Male,Number,261,259,231,28
2,All Category C subjects,Male,Percentage,,,89.2%,10.8%
3,All Category C subjects,Female,Number,395,394,332,62
4,All Category C subjects,Female,Percentage,,,84.3%,15.7%
5,All Category C subjects,Total,Number,656,653,563,90
6,All Category C subjects,Total,Percentage,,,86.2%,13.8%
