No.,Subject,Language proficiency level,Gender,Type,No. Entered,No. of candidates with results submitted,Pass,Not Pass
1,French Language,C2,Male,Number,0,0,-,-
2,French Language,C2,Male,Percentage,,,-,-
3,French Language,C2,Female,Number,0,0,-,-
4,French Language,C2,Female,Percentage,,,-,-
5,French Language,C2,Total,Number,0,0,-,-
6,French Language,C2,Total,Percentage,,,-,-
7,French Language,C1,Male,Number,0,0,-,-
8,French Language,C1,Male,Percentage,,,-,-
9,French Language,C1,Female,Number,0,0,-,-
10,French Language,C1,Female,Percentage,,,-,-
11,French Language,C1,Total,Number,0,0,-,-
12,French Language,C1,Total,Percentage,,,-,-
13,French Language,B2,Male,Number,4,4,4,0
14,French Language,B2,Male,Percentage,,,100.0%,0.0%
15,French Language,B2,Female,Number,2,2,2,0
16,French Language,B2,Female,Percentage,,,100.0%,0.0%
17,French Language,B2,Total,Number,6,6,6,0
18,French Language,B2,Total,Percentage,,,100.0%,0.0%
19,French Language,B1,Male,Number,9,9,9,0
20,French Language,B1,Male,Percentage,,,100.0%,0.0%
21,French Language,B1,Female,Number,15,15,14,1
22,French Language,B1,Female,Percentage,,,93.3%,6.7%
23,French Language,B1,Total,Number,24,24,23,1
24,French Language,B1,Total,Percentage,,,95.8%,4.2%
25,French Language,A2,Male,Number,14,14,14,0
26,French Language,A2,Male,Percentage,,,100.0%,0.0%
27,French Language,A2,Female,Number,12,12,11,1
28,French Language,A2,Female,Percentage,,,91.7%,8.3%
29,French Language,A2,Total,Number,26,26,25,1
30,French Language,A2,Total,Percentage,,,96.2%,3.8%
31,French Language,Subtotal,Male,Number,27,27,27,0
32,French Language,Subtotal,Male,Percentage,,,100.0%,0.0%
33,French Language,Subtotal,Female,Number,29,29,27,2
34,French Language,Subtotal,Female,Percentage,,,93.1%,6.9%
35,French Language,Subtotal,Total,Number,56,56,54,2
36,French Language,Subtotal,Total,Percentage,,,96.4%,3.6%
37,German Language,C2,Male,Number,0,0,-,-
38,German Language,C2,Male,Percentage,,,-,-
39,German Language,C2,Female,Number,0,0,-,-
40,German Language,C2,Female,Percentage,,,-,-
41,German Language,C2,Total,Number,0,0,-,-
42,German Language,C2,Total,Percentage,,,-,-
43,German Language,C1,Male,Number,0,0,-,-
44,German Language,C1,Male,Percentage,,,-,-
45,German Language,C1,Female,Number,0,0,-,-
46,German Language,C1,Female,Percentage,,,-,-
47,German Language,C1,Total,Number,0,0,-,-
48,German Language,C1,Total,Percentage,,,-,-
49,German Language,B2,Male,Number,0,0,-,-
50,German Language,B2,Male,Percentage,,,-,-
51,German Language,B2,Female,Number,0,0,-,-
52,German Language,B2,Female,Percentage,,,-,-
53,German Language,B2,Total,Number,0,0,-,-
54,German Language,B2,Total,Percentage,,,-,-
55,German Language,B1,Male,Number,0,0,-,-
56,German Language,B1,Male,Percentage,,,-,-
57,German Language,B1,Female,Number,0,0,-,-
58,German Language,B1,Female,Percentage,,,-,-
59,German Language,B1,Total,Number,0,0,-,-
60,German Language,B1,Total,Percentage,,,-,-
61,German Language,A2,Male,Number,1,1,1,0
62,German Language,A2,Male,Percentage,,,100.0%,0.0%
63,German Language,A2,Female,Number,2,2,2,0
64,German Language,A2,Female,Percentage,,,100.0%,0.0%
65,German Language,A2,Total,Number,3,3,3,0
66,German Language,A2,Total,Percentage,,,100.0%,0.0%
67,German Language,Subtotal,Male,Number,1,1,1,0
68,German Language,Subtotal,Male,Percentage,,,100.0%,0.0%
69,German Language,Subtotal,Female,Number,2,2,2,0
70,German Language,Subtotal,Female,Percentage,,,100.0%,0.0%
71,German Language,Subtotal,Total,Number,3,3,3,0
72,German Language,Subtotal,Total,Percentage,,,100.0%,0.0%
73,Japanese Language,N1,Male,Number,31,30,30,0
74,Japanese Language,N1,Male,Percentage,,,100.0%,0.0%
75,Japanese Language,N1,Female,Number,57,57,54,3
76,Japanese Language,N1,Female,Percentage,,,94.7%,5.3%
77,Japanese Language,N1,Total,Number,88,87,84,3
78,Japanese Language,N1,Total,Percentage,,,96.6%,3.4%
79,Japanese Language,N2,Male,Number,83,83,79,4
80,Japanese Language,N2,Male,Percentage,,,95.2%,4.8%
81,Japanese Language,N2,Female,Number,97,97,96,1
82,Japanese Language,N2,Female,Percentage,,,99.0%,1.0%
83,Japanese Language,N2,Total,Number,180,180,175,5
84,Japanese Language,N2,Total,Percentage,,,97.2%,2.8%
85,Japanese Language,N3,Male,Number,107,106,83,23
86,Japanese Language,N3,Male,Percentage,,,78.3%,21.7%
87,Japanese Language,N3,Female,Number,128,127,82,45
88,Japanese Language,N3,Female,Percentage,,,64.6%,35.4%
89,Japanese Language,N3,Total,Number,235,233,165,68
90,Japanese Language,N3,Total,Percentage,,,70.8%,29.2%
91,Japanese Language,Subtotal,Male,Number,221,219,192,27
92,Japanese Language,Subtotal,Male,Percentage,,,87.7%,12.3%
93,Japanese Language,Subtotal,Female,Number,282,281,232,49
94,Japanese Language,Subtotal,Female,Percentage,,,82.6%,17.4%
95,Japanese Language,Subtotal,Total,Number,503,500,424,76
96,Japanese Language,Subtotal,Total,Percentage,,,84.8%,15.2%
97,Spanish Language,C2,Male,Number,0,0,-,-
98,Spanish Language,C2,Male,Percentage,,,-,-
99,Spanish Language,C2,Female,Number,0,0,-,-
100,Spanish Language,C2,Female,Percentage,,,-,-
101,Spanish Language,C2,Total,Number,0,0,-,-
102,Spanish Language,C2,Total,Percentage,,,-,-
103,Spanish Language,C1,Male,Number,0,0,-,-
104,Spanish Language,C1,Male,Percentage,,,-,-
105,Spanish Language,C1,Female,Number,0,0,-,-
106,Spanish Language,C1,Female,Percentage,,,-,-
107,Spanish Language,C1,Total,Number,0,0,-,-
108,Spanish Language,C1,Total,Percentage,,,-,-
109,Spanish Language,B2,Male,Number,0,0,-,-
110,Spanish Language,B2,Male,Percentage,,,-,-
111,Spanish Language,B2,Female,Number,0,0,-,-
112,Spanish Language,B2,Female,Percentage,,,-,-
113,Spanish Language,B2,Total,Number,0,0,-,-
114,Spanish Language,B2,Total,Percentage,,,-,-
115,Spanish Language,B1,Male,Number,3,3,3,0
116,Spanish Language,B1,Male,Percentage,,,100.0%,0.0%
117,Spanish Language,B1,Female,Number,4,4,4,0
118,Spanish Language,B1,Female,Percentage,,,100.0%,0.0%
119,Spanish Language,B1,Total,Number,7,7,7,0
120,Spanish Language,B1,Total,Percentage,,,100.0%,0.0%
121,Spanish Language,A2,Male,Number,5,5,5,0
122,Spanish Language,A2,Male,Percentage,,,100.0%,0.0%
123,Spanish Language,A2,Female,Number,13,13,12,1
124,Spanish Language,A2,Female,Percentage,,,92.3%,7.7%
125,Spanish Language,A2,Total,Number,18,18,17,1
126,Spanish Language,A2,Total,Percentage,,,94.4%,5.6%
127,Spanish Language,Subtotal,Male,Number,8,8,8,0
128,Spanish Language,Subtotal,Male,Percentage,,,100.0%,0.0%
129,Spanish Language,Subtotal,Female,Number,17,17,16,1
130,Spanish Language,Subtotal,Female,Percentage,,,94.1%,5.9%
131,Spanish Language,Subtotal,Total,Number,25,25,24,1
132,Spanish Language,Subtotal,Total,Percentage,,,96.0%,4.0%
