No.,Subject,Language proficiency level,Gender,Type,No. Entered,No. of candidates with results submitted,Pass - Grade 6,Pass - Grade 5,Pass - Grade 4,Pass - Grade 3,Pass - Subtotal,Not Pass
1,Korean Language,TOPIK II,Male,Number,4,4,0,2,1,0,3,1
2,Korean Language,TOPIK II,Male,Percentage,,,0.0%,50.0%,25.0%,0.0%,75.0%,25.0%
3,Korean Language,TOPIK II,Female,Number,65,65,8,21,13,13,55,10
4,Korean Language,TOPIK II,Female,Percentage,,,12.3%,32.3%,20.0%,20.0%,84.6%,15.4%
5,Korean Language,TOPIK II,Total,Number,69,69,8,23,14,13,58,11
6,Korean Language,TOPIK II,Total,Percentage,,,11.6%,33.3%,20.3%,18.8%,84.1%,15.9%
