行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用科學,動物護理,男生,人數,14,14,3,8,13,1
2,應用科學,動物護理,男生,百分比,,,21.4%,57.1%,92.9%,7.1%
3,應用科學,動物護理,女生,人數,43,39,7,23,37,2
4,應用科學,動物護理,女生,百分比,,,17.9%,59.0%,94.9%,5.1%
5,應用科學,動物護理,總數,人數,57,53,10,31,50,3
6,應用科學,動物護理,總數,百分比,,,18.9%,58.5%,94.3%,5.7%
7,應用科學,應用心理學,男生,人數,134,123,7,32,101,22
8,應用科學,應用心理學,男生,百分比,,,5.7%,26.0%,82.1%,17.9%
9,應用科學,應用心理學,女生,人數,194,185,41,104,174,11
10,應用科學,應用心理學,女生,百分比,,,22.2%,56.2%,94.1%,5.9%
11,應用科學,應用心理學,總數,人數,328,308,48,136,275,33
12,應用科學,應用心理學,總數,百分比,,,15.6%,44.2%,89.3%,10.7%
13,應用科學,運動及體適能教練,男生,人數,224,206,5,26,171,35
14,應用科學,運動及體適能教練,男生,百分比,,,2.4%,12.6%,83.0%,17.0%
15,應用科學,運動及體適能教練,女生,人數,76,75,5,15,53,22
16,應用科學,運動及體適能教練,女生,百分比,,,6.7%,20.0%,70.7%,29.3%
17,應用科學,運動及體適能教練,總數,人數,300,281,10,41,224,57
18,應用科學,運動及體適能教練,總數,百分比,,,3.6%,14.6%,79.7%,20.3%
19,應用科學,運動科學及體適能,男生,人數,34,29,1,9,27,2
20,應用科學,運動科學及體適能,男生,百分比,,,3.4%,31.0%,93.1%,6.9%
21,應用科學,運動科學及體適能,女生,人數,12,11,1,4,11,0
22,應用科學,運動科學及體適能,女生,百分比,,,9.1%,36.4%,100.0%,0.0%
23,應用科學,運動科學及體適能,總數,人數,46,40,2,13,38,2
24,應用科學,運動科學及體適能,總數,百分比,,,5.0%,32.5%,95.0%,5.0%
25,應用科學,食品創新與科學,男生,人數,26,25,2,7,18,7
26,應用科學,食品創新與科學,男生,百分比,,,8.0%,28.0%,72.0%,28.0%
27,應用科學,食品創新與科學,女生,人數,29,29,3,12,29,0
28,應用科學,食品創新與科學,女生,百分比,,,10.3%,41.4%,100.0%,0.0%
29,應用科學,食品創新與科學,總數,人數,55,54,5,19,47,7
30,應用科學,食品創新與科學,總數,百分比,,,9.3%,35.2%,87.0%,13.0%
31,應用科學,中醫藥學基礎,男生,人數,59,55,6,15,51,4
32,應用科學,中醫藥學基礎,男生,百分比,,,10.9%,27.3%,92.7%,7.3%
33,應用科學,中醫藥學基礎,女生,人數,92,91,10,32,86,5
34,應用科學,中醫藥學基礎,女生,百分比,,,11.0%,35.2%,94.5%,5.5%
35,應用科學,中醫藥學基礎,總數,人數,151,146,16,47,137,9
36,應用科學,中醫藥學基礎,總數,百分比,,,11.0%,32.2%,93.8%,6.2%
37,應用科學,健康護理實務,男生,人數,105,97,4,17,81,16
38,應用科學,健康護理實務,男生,百分比,,,4.1%,17.5%,83.5%,16.5%
39,應用科學,健康護理實務,女生,人數,150,144,12,49,136,8
40,應用科學,健康護理實務,女生,百分比,,,8.3%,34.0%,94.4%,5.6%
41,應用科學,健康護理實務,總數,人數,255,241,16,66,217,24
42,應用科學,健康護理實務,總數,百分比,,,6.6%,27.4%,90.0%,10.0%
43,應用科學,醫務化驗科學,男生,人數,24,21,5,14,18,3
44,應用科學,醫務化驗科學,男生,百分比,,,23.8%,66.7%,85.7%,14.3%
45,應用科學,醫務化驗科學,女生,人數,33,22,9,15,20,2
46,應用科學,醫務化驗科學,女生,百分比,,,40.9%,68.2%,90.9%,9.1%
47,應用科學,醫務化驗科學,總數,人數,57,43,14,29,38,5
48,應用科學,醫務化驗科學,總數,百分比,,,32.6%,67.4%,88.4%,11.6%
49,應用科學,實用心理學,男生,人數,62,57,4,13,55,2
50,應用科學,實用心理學,男生,百分比,,,7.0%,22.8%,96.5%,3.5%
51,應用科學,實用心理學,女生,人數,109,107,18,44,105,2
52,應用科學,實用心理學,女生,百分比,,,16.8%,41.1%,98.1%,1.9%
53,應用科學,實用心理學,總數,人數,171,164,22,57,160,4
