行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用科學,動物護理,男生,人數,13,13,3,7,12,1
2,應用科學,動物護理,男生,百分比,,,23.1%,53.8%,92.3%,7.7%
3,應用科學,動物護理,女生,人數,42,39,7,23,37,2
4,應用科學,動物護理,女生,百分比,,,17.9%,59.0%,94.9%,5.1%
5,應用科學,動物護理,總數,人數,55,52,10,30,49,3
6,應用科學,動物護理,總數,百分比,,,19.2%,57.7%,94.2%,5.8%
7,應用科學,應用心理學,男生,人數,125,115,7,32,97,18
8,應用科學,應用心理學,男生,百分比,,,6.1%,27.8%,84.3%,15.7%
9,應用科學,應用心理學,女生,人數,177,168,41,98,161,7
10,應用科學,應用心理學,女生,百分比,,,24.4%,58.3%,95.8%,4.2%
11,應用科學,應用心理學,總數,人數,302,283,48,130,258,25
12,應用科學,應用心理學,總數,百分比,,,17.0%,45.9%,91.2%,8.8%
13,應用科學,運動及體適能教練,男生,人數,188,172,5,23,137,35
14,應用科學,運動及體適能教練,男生,百分比,,,2.9%,13.4%,79.7%,20.3%
15,應用科學,運動及體適能教練,女生,人數,60,59,4,13,40,19
16,應用科學,運動及體適能教練,女生,百分比,,,6.8%,22.0%,67.8%,32.2%
17,應用科學,運動及體適能教練,總數,人數,248,231,9,36,177,54
18,應用科學,運動及體適能教練,總數,百分比,,,3.9%,15.6%,76.6%,23.4%
19,應用科學,運動科學及體適能,男生,人數,32,28,1,8,26,2
20,應用科學,運動科學及體適能,男生,百分比,,,3.6%,28.6%,92.9%,7.1%
21,應用科學,運動科學及體適能,女生,人數,12,11,1,4,11,0
22,應用科學,運動科學及體適能,女生,百分比,,,9.1%,36.4%,100.0%,0.0%
23,應用科學,運動科學及體適能,總數,人數,44,39,2,12,37,2
24,應用科學,運動科學及體適能,總數,百分比,,,5.1%,30.8%,94.9%,5.1%
25,應用科學,食品創新與科學,男生,人數,26,25,2,7,18,7
26,應用科學,食品創新與科學,男生,百分比,,,8.0%,28.0%,72.0%,28.0%
27,應用科學,食品創新與科學,女生,人數,29,29,3,12,29,0
28,應用科學,食品創新與科學,女生,百分比,,,10.3%,41.4%,100.0%,0.0%
29,應用科學,食品創新與科學,總數,人數,55,54,5,19,47,7
30,應用科學,食品創新與科學,總數,百分比,,,9.3%,35.2%,87.0%,13.0%
31,應用科學,中醫藥學基礎,男生,人數,55,53,6,15,49,4
32,應用科學,中醫藥學基礎,男生,百分比,,,11.3%,28.3%,92.5%,7.5%
33,應用科學,中醫藥學基礎,女生,人數,90,89,10,31,85,4
34,應用科學,中醫藥學基礎,女生,百分比,,,11.2%,34.8%,95.5%,4.5%
35,應用科學,中醫藥學基礎,總數,人數,145,142,16,46,134,8
36,應用科學,中醫藥學基礎,總數,百分比,,,11.3%,32.4%,94.4%,5.6%
37,應用科學,健康護理實務,男生,人數,97,91,4,16,76,15
38,應用科學,健康護理實務,男生,百分比,,,4.4%,17.6%,83.5%,16.5%
39,應用科學,健康護理實務,女生,人數,141,135,11,48,129,6
40,應用科學,健康護理實務,女生,百分比,,,8.1%,35.6%,95.6%,4.4%
41,應用科學,健康護理實務,總數,人數,238,226,15,64,205,21
42,應用科學,健康護理實務,總數,百分比,,,6.6%,28.3%,90.7%,9.3%
43,應用科學,醫務化驗科學,男生,人數,24,21,5,14,18,3
44,應用科學,醫務化驗科學,男生,百分比,,,23.8%,66.7%,85.7%,14.3%
45,應用科學,醫務化驗科學,女生,人數,33,22,9,15,20,2
46,應用科學,醫務化驗科學,女生,百分比,,,40.9%,68.2%,90.9%,9.1%
47,應用科學,醫務化驗科學,總數,人數,57,43,14,29,38,5
48,應用科學,醫務化驗科學,總數,百分比,,,32.6%,67.4%,88.4%,11.6%
