行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
1,應用科學,動物護理,男生,人數,10,8,0,3,6,2
2,應用科學,動物護理,男生,百分比,,,0.0%,37.5%,75.0%,25.0%
3,應用科學,動物護理,女生,人數,32,28,4,15,24,4
4,應用科學,動物護理,女生,百分比,,,14.3%,53.6%,85.7%,14.3%
5,應用科學,動物護理,總數,人數,42,36,4,18,30,6
6,應用科學,動物護理,總數,百分比,,,11.1%,50.0%,83.3%,16.7%
7,應用科學,應用心理學,男生,人數,33,29,1,6,29,0
8,應用科學,應用心理學,男生,百分比,,,3.4%,20.7%,100.0%,0.0%
9,應用科學,應用心理學,女生,人數,60,56,9,27,54,2
10,應用科學,應用心理學,女生,百分比,,,16.1%,48.2%,96.4%,3.6%
11,應用科學,應用心理學,總數,人數,93,85,10,33,83,2
12,應用科學,應用心理學,總數,百分比,,,11.8%,38.8%,97.6%,2.4%
13,應用科學,運動科學及體適能,男生,人數,67,45,3,12,40,5
14,應用科學,運動科學及體適能,男生,百分比,,,6.7%,26.7%,88.9%,11.1%
15,應用科學,運動科學及體適能,女生,人數,15,14,1,7,13,1
16,應用科學,運動科學及體適能,女生,百分比,,,7.1%,50.0%,92.9%,7.1%
17,應用科學,運動科學及體適能,總數,人數,82,59,4,19,53,6
18,應用科學,運動科學及體適能,總數,百分比,,,6.8%,32.2%,89.8%,10.2%
19,應用科學,中醫藥學基礎,男生,人數,41,41,6,17,38,3
20,應用科學,中醫藥學基礎,男生,百分比,,,14.6%,41.5%,92.7%,7.3%
21,應用科學,中醫藥學基礎,女生,人數,42,42,11,23,40,2
22,應用科學,中醫藥學基礎,女生,百分比,,,26.2%,54.8%,95.2%,4.8%
23,應用科學,中醫藥學基礎,總數,人數,83,83,17,40,78,5
24,應用科學,中醫藥學基礎,總數,百分比,,,20.5%,48.2%,94.0%,6.0%
25,應用科學,健康護理實務,男生,人數,36,35,3,11,31,4
26,應用科學,健康護理實務,男生,百分比,,,8.6%,31.4%,88.6%,11.4%
27,應用科學,健康護理實務,女生,人數,95,89,8,34,84,5
28,應用科學,健康護理實務,女生,百分比,,,9.0%,38.2%,94.4%,5.6%
29,應用科學,健康護理實務,總數,人數,131,124,11,45,115,9
30,應用科學,健康護理實務,總數,百分比,,,8.9%,36.3%,92.7%,7.3%
31,應用科學,醫務化驗科學,男生,人數,16,15,3,6,13,2
32,應用科學,醫務化驗科學,男生,百分比,,,20.0%,40.0%,86.7%,13.3%
33,應用科學,醫務化驗科學,女生,人數,8,7,2,4,7,0
34,應用科學,醫務化驗科學,女生,百分比,,,28.6%,57.1%,100.0%,0.0%
35,應用科學,醫務化驗科學,總數,人數,24,22,5,10,20,2
36,應用科學,醫務化驗科學,總數,百分比,,,22.7%,45.5%,90.9%,9.1%
37,應用科學,實用心理學,男生,人數,43,38,2,11,38,0
38,應用科學,實用心理學,男生,百分比,,,5.3%,28.9%,100.0%,0.0%
39,應用科學,實用心理學,女生,人數,39,39,11,25,39,0
40,應用科學,實用心理學,女生,百分比,,,28.2%,64.1%,100.0%,0.0%
41,應用科學,實用心理學,總數,人數,82,77,13,36,77,0
42,應用科學,實用心理學,總數,百分比,,,16.9%,46.8%,100.0%,0.0%
43,應用科學,運動及體適能教練,男生,人數,117,95,7,24,84,11
44,應用科學,運動及體適能教練,男生,百分比,,,7.4%,25.3%,88.4%,11.6%
45,應用科學,運動及體適能教練,女生,人數,18,12,1,2,11,1
46,應用科學,運動及體適能教練,女生,百分比,,,8.3%,16.7%,91.7%,8.3%
47,應用科學,運動及體適能教練,總數,人數,135,107,8,26,95,12
48,應用科學,運動及體適能教練,總數,百分比,,,7.5%,24.3%,88.8%,11.2%
49,商業、管理及法律,電子商務會計,男生,人數,12,10,2,4,9,1
50,商業、管理及法律,電子商務會計,男生,百分比,,,20.0%,40.0%,90.0%,10.0%
51,商業、管理及法律,電子商務會計,女生,人數,13,12,4,5,12,0
52,商業、管理及法律,電子商務會計,女生,百分比,,,33.3%,41.7%,100.0%,0.0%
53,商業、管理及法律,電子商務會計,總數,人數,25,22,6,9,21,1
54,商業、管理及法律,電子商務會計,總數,百分比,,,27.3%,40.9%,95.5%,4.5%
55,商業、管理及法律,商業數據分析,男生,人數,6,6,0,3,6,0
56,商業、管理及法律,商業數據分析,男生,百分比,,,0.0%,50.0%,100.0%,0.0%
57,商業、管理及法律,商業數據分析,女生,人數,3,3,1,2,3,0
58,商業、管理及法律,商業數據分析,女生,百分比,,,33.3%,66.7%,100.0%,0.0%
59,商業、管理及法律,商業數據分析,總數,人數,9,9,1,5,9,0
60,商業、管理及法律,商業數據分析,總數,百分比,,,11.1%,55.6%,100.0%,0.0%
61,商業、管理及法律,中小企創業實務,男生,人數,9,9,1,3,9,0
62,商業、管理及法律,中小企創業實務,男生,百分比,,,11.1%,33.3%,100.0%,0.0%
63,商業、管理及法律,中小企創業實務,女生,人數,4,4,1,2,4,0
64,商業、管理及法律,中小企創業實務,女生,百分比,,,25.0%,50.0%,100.0%,0.0%
65,商業、管理及法律,中小企創業實務,總數,人數,13,13,2,5,13,0
66,商業、管理及法律,中小企創業實務,總數,百分比,,,15.4%,38.5%,100.0%,0.0%
67,商業、管理及法律,香港執法實務,男生,人數,20,18,2,6,17,1
68,商業、管理及法律,香港執法實務,男生,百分比,,,11.1%,33.3%,94.4%,5.6%
69,商業、管理及法律,香港執法實務,女生,人數,14,10,2,3,8,2
70,商業、管理及法律,香港執法實務,女生,百分比,,,20.0%,30.0%,80.0%,20.0%
71,商業、管理及法律,香港執法實務,總數,人數,34,28,4,9,25,3
72,商業、管理及法律,香港執法實務,總數,百分比,,,14.3%,32.1%,89.3%,10.7%
73,商業、管理及法律,市場營銷及網上推廣,男生,人數,12,10,2,5,10,0
74,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,20.0%,50.0%,100.0%,0.0%
75,商業、管理及法律,市場營銷及網上推廣,女生,人數,9,9,2,8,9,0
76,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,22.2%,88.9%,100.0%,0.0%
77,商業、管理及法律,市場營銷及網上推廣,總數,人數,21,19,4,13,19,0
78,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,21.1%,68.4%,100.0%,0.0%
79,創意學習,電腦遊戲及動畫設計,男生,人數,154,134,6,30,119,15
80,創意學習,電腦遊戲及動畫設計,男生,百分比,,,4.5%,22.4%,88.8%,11.2%
81,創意學習,電腦遊戲及動畫設計,女生,人數,49,46,8,22,42,4
82,創意學習,電腦遊戲及動畫設計,女生,百分比,,,17.4%,47.8%,91.3%,8.7%
83,創意學習,電腦遊戲及動畫設計,總數,人數,203,180,14,52,161,19
84,創意學習,電腦遊戲及動畫設計,總數,百分比,,,7.8%,28.9%,89.4%,10.6%
85,創意學習,展示及首飾設計,男生,人數,4,4,1,1,4,0
86,創意學習,展示及首飾設計,男生,百分比,,,25.0%,25.0%,100.0%,0.0%
87,創意學習,展示及首飾設計,女生,人數,15,14,1,5,14,0
88,創意學習,展示及首飾設計,女生,百分比,,,7.1%,35.7%,100.0%,0.0%
89,創意學習,展示及首飾設計,總數,人數,19,18,2,6,18,0
90,創意學習,展示及首飾設計,總數,百分比,,,11.1%,33.3%,100.0%,0.0%
91,創意學習,時裝形象設計,男生,人數,31,28,1,3,27,1
92,創意學習,時裝形象設計,男生,百分比,,,3.6%,10.7%,96.4%,3.6%
93,創意學習,時裝形象設計,女生,人數,122,115,11,34,115,0
94,創意學習,時裝形象設計,女生,百分比,,,9.6%,29.6%,100.0%,0.0%
95,創意學習,時裝形象設計,總數,人數,153,143,12,37,142,1
96,創意學習,時裝形象設計,總數,百分比,,,8.4%,25.9%,99.3%,0.7%
97,創意學習,室內設計,男生,人數,57,50,2,11,40,10
98,創意學習,室內設計,男生,百分比,,,4.0%,22.0%,80.0%,20.0%
99,創意學習,室內設計,女生,人數,76,75,9,16,70,5
100,創意學習,室內設計,女生,百分比,,,12.0%,21.3%,93.3%,6.7%
101,創意學習,室內設計,總數,人數,133,125,11,27,110,15
102,創意學習,室內設計,總數,百分比,,,8.8%,21.6%,88.0%,12.0%
103,創意學習,舞出新機－舞蹈藝術,男生,人數,4,4,1,1,4,0
104,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,25.0%,25.0%,100.0%,0.0%
105,創意學習,舞出新機－舞蹈藝術,女生,人數,56,55,10,30,55,0
106,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,18.2%,54.5%,100.0%,0.0%
107,創意學習,舞出新機－舞蹈藝術,總數,人數,60,59,11,31,59,0
108,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,18.6%,52.5%,100.0%,0.0%
109,創意學習,由戲開始．劇藝縱橫,男生,人數,24,24,2,12,24,0
110,創意學習,由戲開始．劇藝縱橫,男生,百分比,,,8.3%,50.0%,100.0%,0.0%
111,創意學習,由戲開始．劇藝縱橫,女生,人數,53,51,10,22,50,1
112,創意學習,由戲開始．劇藝縱橫,女生,百分比,,,19.6%,43.1%,98.0%,2.0%
113,創意學習,由戲開始．劇藝縱橫,總數,人數,77,75,12,34,74,1
114,創意學習,由戲開始．劇藝縱橫,總數,百分比,,,16.0%,45.3%,98.7%,1.3%
115,工程及生產,航空學,男生,人數,169,154,3,13,143,11
116,工程及生產,航空學,男生,百分比,,,1.9%,8.4%,92.9%,7.1%
117,工程及生產,航空學,女生,人數,108,101,7,34,101,0
118,工程及生產,航空學,女生,百分比,,,6.9%,33.7%,100.0%,0.0%
119,工程及生產,航空學,總數,人數,277,255,10,47,244,11
120,工程及生產,航空學,總數,百分比,,,3.9%,18.4%,95.7%,4.3%
121,工程及生產,電腦鑑證科技,男生,人數,19,16,0,2,14,2
122,工程及生產,電腦鑑證科技,男生,百分比,,,0.0%,12.5%,87.5%,12.5%
123,工程及生產,電腦鑑證科技,女生,人數,2,2,1,2,2,0
124,工程及生產,電腦鑑證科技,女生,百分比,,,50.0%,100.0%,100.0%,0.0%
125,工程及生產,電腦鑑證科技,總數,人數,21,18,1,4,16,2
126,工程及生產,電腦鑑證科技,總數,百分比,,,5.6%,22.2%,88.9%,11.1%
127,工程及生產,建構智慧城市,男生,人數,0,0,-,-,-,-
128,工程及生產,建構智慧城市,男生,百分比,,,-,-,-,-
129,工程及生產,建構智慧城市,女生,人數,0,0,-,-,-,-
130,工程及生產,建構智慧城市,女生,百分比,,,-,-,-,-
131,工程及生產,建構智慧城市,總數,人數,0,0,-,-,-,-
132,工程及生產,建構智慧城市,總數,百分比,,,-,-,-,-
133,工程及生產,電機及能源工程,男生,人數,53,46,1,8,46,0
134,工程及生產,電機及能源工程,男生,百分比,,,2.2%,17.4%,100.0%,0.0%
135,工程及生產,電機及能源工程,女生,人數,0,0,-,-,-,-
136,工程及生產,電機及能源工程,女生,百分比,,,-,-,-,-
137,工程及生產,電機及能源工程,總數,人數,53,46,1,8,46,0
138,工程及生產,電機及能源工程,總數,百分比,,,2.2%,17.4%,100.0%,0.0%
139,工程及生產,物聯網應用,男生,人數,13,13,0,3,9,4
140,工程及生產,物聯網應用,男生,百分比,,,0.0%,23.1%,69.2%,30.8%
141,工程及生產,物聯網應用,女生,人數,5,5,1,3,5,0
142,工程及生產,物聯網應用,女生,百分比,,,20.0%,60.0%,100.0%,0.0%
143,工程及生產,物聯網應用,總數,人數,18,18,1,6,14,4
144,工程及生產,物聯網應用,總數,百分比,,,5.6%,33.3%,77.8%,22.2%
145,工程及生產,鐵路學,男生,人數,38,38,1,9,34,4
146,工程及生產,鐵路學,男生,百分比,,,2.6%,23.7%,89.5%,10.5%
147,工程及生產,鐵路學,女生,人數,2,2,0,0,1,1
148,工程及生產,鐵路學,女生,百分比,,,0.0%,0.0%,50.0%,50.0%
149,工程及生產,鐵路學,總數,人數,40,40,1,9,35,5
150,工程及生產,鐵路學,總數,百分比,,,2.5%,22.5%,87.5%,12.5%
151,媒體及傳意,創意廣告,男生,人數,0,0,-,-,-,-
152,媒體及傳意,創意廣告,男生,百分比,,,-,-,-,-
153,媒體及傳意,創意廣告,女生,人數,0,0,-,-,-,-
154,媒體及傳意,創意廣告,女生,百分比,,,-,-,-,-
155,媒體及傳意,創意廣告,總數,人數,0,0,-,-,-,-
156,媒體及傳意,創意廣告,總數,百分比,,,-,-,-,-
157,媒體及傳意,電影及超媒體,男生,人數,61,53,9,13,49,4
158,媒體及傳意,電影及超媒體,男生,百分比,,,17.0%,24.5%,92.5%,7.5%
159,媒體及傳意,電影及超媒體,女生,人數,54,53,9,20,53,0
160,媒體及傳意,電影及超媒體,女生,百分比,,,17.0%,37.7%,100.0%,0.0%
161,媒體及傳意,電影及超媒體,總數,人數,115,106,18,33,102,4
162,媒體及傳意,電影及超媒體,總數,百分比,,,17.0%,31.1%,96.2%,3.8%
163,媒體及傳意,雜誌編輯與製作,男生,人數,5,5,0,2,5,0
164,媒體及傳意,雜誌編輯與製作,男生,百分比,,,0.0%,40.0%,100.0%,0.0%
165,媒體及傳意,雜誌編輯與製作,女生,人數,10,10,3,6,10,0
166,媒體及傳意,雜誌編輯與製作,女生,百分比,,,30.0%,60.0%,100.0%,0.0%
167,媒體及傳意,雜誌編輯與製作,總數,人數,15,15,3,8,15,0
