行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5685,5358,,147,530,1222,2587,3911,4832,5191,167
2,生物,,男生,百分比,,,40.7,2.7%,9.9%,22.8%,48.3%,73.0%,90.2%,96.9%,3.1%
3,生物,,女生,人數,7322,6984,,104,486,1313,3077,4955,6294,6761,223
4,生物,,女生,百分比,,,35.1,1.5%,7.0%,18.8%,44.1%,70.9%,90.1%,96.8%,3.2%
5,生物,,總數,人數,13007,12342,,251,1016,2535,5664,8866,11126,11952,390
6,生物,,總數,百分比,,,37.5,2.0%,8.2%,20.5%,45.9%,71.8%,90.1%,96.8%,3.2%
7,企業、會計與財務概論,會計,男生,人數,3182,2968,,47,204,477,1294,2006,2665,2884,84
8,企業、會計與財務概論,會計,男生,百分比,,,38.8,1.6%,6.9%,16.1%,43.6%,67.6%,89.8%,97.2%,2.8%
9,企業、會計與財務概論,會計,女生,人數,3659,3511,,53,207,487,1632,2568,3244,3463,48
10,企業、會計與財務概論,會計,女生,百分比,,,29.7,1.5%,5.9%,13.9%,46.5%,73.1%,92.4%,98.6%,1.4%
11,企業、會計與財務概論,會計,總數,人數,6841,6479,,100,411,964,2926,4574,5909,6347,132
12,企業、會計與財務概論,會計,總數,百分比,,,33.9,1.5%,6.3%,14.9%,45.2%,70.6%,91.2%,98.0%,2.0%
13,企業、會計與財務概論,商業管理,男生,人數,1315,1216,,6,21,76,319,642,1038,1174,42
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.8,0.5%,1.7%,6.3%,26.2%,52.8%,85.4%,96.5%,3.5%
15,企業、會計與財務概論,商業管理,女生,人數,1403,1346,,12,47,104,443,856,1217,1318,28
16,企業、會計與財務概論,商業管理,女生,百分比,,,72.8,0.9%,3.5%,7.7%,32.9%,63.6%,90.4%,97.9%,2.1%
17,企業、會計與財務概論,商業管理,總數,人數,2718,2562,,18,68,180,762,1498,2255,2492,70
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.8,0.7%,2.7%,7.0%,29.7%,58.5%,88.0%,97.3%,2.7%
19,化學,,男生,人數,6813,6424,,196,741,1767,3390,4874,5620,6116,308
20,化學,,男生,百分比,,,26.1,3.1%,11.5%,27.5%,52.8%,75.9%,87.5%,95.2%,4.8%
21,化學,,女生,人數,5487,5224,,117,483,1222,2555,3952,4602,5009,215
22,化學,,女生,百分比,,,21.1,2.2%,9.2%,23.4%,48.9%,75.7%,88.1%,95.9%,4.1%
23,化學,,總數,人數,12300,11648,,313,1224,2989,5945,8826,10222,11125,523
24,化學,,總數,百分比,,,23.9,2.7%,10.5%,25.7%,51.0%,75.8%,87.8%,95.5%,4.5%
25,中國歷史,,男生,人數,2631,2439,,26,117,287,841,1538,2128,2319,120
26,中國歷史,,男生,百分比,,,-,1.1%,4.8%,11.8%,34.5%,63.1%,87.2%,95.1%,4.9%
27,中國歷史,,女生,人數,3540,3335,,50,185,464,1387,2377,3053,3228,107
28,中國歷史,,女生,百分比,,,-,1.5%,5.5%,13.9%,41.6%,71.3%,91.5%,96.8%,3.2%
29,中國歷史,,總數,人數,6171,5774,,76,302,751,2228,3915,5181,5547,227
30,中國歷史,,總數,百分比,,,-,1.3%,5.2%,13.0%,38.6%,67.8%,89.7%,96.1%,3.9%
31,中國語文,,男生,人數,23354,22583,,106,443,1234,4822,10716,18700,21718,865
32,中國語文,,男生,百分比,,,-,0.5%,2.0%,5.5%,21.4%,47.5%,82.8%,96.2%,3.8%
33,中國語文,,女生,人數,22475,21881,,373,1380,3351,9265,15266,20337,21559,322
34,中國語文,,女生,百分比,,,-,1.7%,6.3%,15.3%,42.3%,69.8%,92.9%,98.5%,1.5%
35,中國語文,,總數,人數,45829,44464,,479,1823,4585,14087,25982,39037,43277,1187
36,中國語文,,總數,百分比,,,-,1.1%,4.1%,10.3%,31.7%,58.4%,87.8%,97.3%,2.7%
37,中國文學,,男生,人數,312,292,,2,7,28,74,160,242,277,15
38,中國文學,,男生,百分比,,,-,0.7%,2.4%,9.6%,25.3%,54.8%,82.9%,94.9%,5.1%
