行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5117,4933,,135,495,1136,2408,3626,4462,4787,146
2,生物,,男生,百分比,,,39.9,2.7%,10.0%,23.0%,48.8%,73.5%,90.5%,97.0%,3.0%
3,生物,,女生,人數,6719,6535,,99,466,1258,2934,4694,5923,6340,195
4,生物,,女生,百分比,,,33.8,1.5%,7.1%,19.3%,44.9%,71.8%,90.6%,97.0%,3.0%
5,生物,,總數,人數,11836,11468,,234,961,2394,5342,8320,10385,11127,341
6,生物,,總數,百分比,,,36.4,2.0%,8.4%,20.9%,46.6%,72.5%,90.6%,97.0%,3.0%
7,企業、會計與財務概論,會計,男生,人數,2883,2745,,40,180,437,1198,1875,2487,2678,67
8,企業、會計與財務概論,會計,男生,百分比,,,38.0,1.5%,6.6%,15.9%,43.6%,68.3%,90.6%,97.6%,2.4%
9,企業、會計與財務概論,會計,女生,人數,3412,3331,,51,198,475,1583,2485,3103,3292,39
10,企業、會計與財務概論,會計,女生,百分比,,,28.5,1.5%,5.9%,14.3%,47.5%,74.6%,93.2%,98.8%,1.2%
11,企業、會計與財務概論,會計,總數,人數,6295,6076,,91,378,912,2781,4360,5590,5970,106
12,企業、會計與財務概論,會計,總數,百分比,,,32.8,1.5%,6.2%,15.0%,45.8%,71.8%,92.0%,98.3%,1.7%
13,企業、會計與財務概論,商業管理,男生,人數,1191,1128,,6,21,70,305,605,970,1091,37
14,企業、會計與財務概論,商業管理,男生,百分比,,,74.0,0.5%,1.9%,6.2%,27.0%,53.6%,86.0%,96.7%,3.3%
15,企業、會計與財務概論,商業管理,女生,人數,1299,1270,,12,46,103,423,819,1154,1244,26
16,企業、會計與財務概論,商業管理,女生,百分比,,,71.9,0.9%,3.6%,8.1%,33.3%,64.5%,90.9%,98.0%,2.0%
17,企業、會計與財務概論,商業管理,總數,人數,2490,2398,,18,67,173,728,1424,2124,2335,63
18,企業、會計與財務概論,商業管理,總數,百分比,,,72.9,0.8%,2.8%,7.2%,30.4%,59.4%,88.6%,97.4%,2.6%
19,化學,,男生,人數,6134,5903,,178,677,1641,3133,4504,5190,5637,266
20,化學,,男生,百分比,,,25.0,3.0%,11.5%,27.8%,53.1%,76.3%,87.9%,95.5%,4.5%
21,化學,,女生,人數,5082,4916,,111,457,1166,2440,3757,4359,4733,183
22,化學,,女生,百分比,,,19.9,2.3%,9.3%,23.7%,49.6%,76.4%,88.7%,96.3%,3.7%
23,化學,,總數,人數,11216,10819,,289,1134,2807,5573,8261,9549,10370,449
24,化學,,總數,百分比,,,22.7,2.7%,10.5%,25.9%,51.5%,76.4%,88.3%,95.8%,4.2%
25,中國歷史,,男生,人數,2341,2231,,24,111,273,783,1426,1964,2131,100
26,中國歷史,,男生,百分比,,,-,1.1%,5.0%,12.2%,35.1%,63.9%,88.0%,95.5%,4.5%
27,中國歷史,,女生,人數,3253,3143,,49,183,455,1340,2281,2906,3060,83
28,中國歷史,,女生,百分比,,,-,1.6%,5.8%,14.5%,42.6%,72.6%,92.5%,97.4%,2.6%
29,中國歷史,,總數,人數,5594,5374,,73,294,728,2123,3707,4870,5191,183
30,中國歷史,,總數,百分比,,,-,1.4%,5.5%,13.5%,39.5%,69.0%,90.6%,96.6%,3.4%
31,中國語文,,男生,人數,20721,20449,,89,407,1145,4529,9970,17088,19721,728
32,中國語文,,男生,百分比,,,-,0.4%,2.0%,5.6%,22.1%,48.8%,83.6%,96.4%,3.6%
33,中國語文,,女生,人數,20442,20232,,343,1310,3186,8812,14452,18962,19977,255
34,中國語文,,女生,百分比,,,-,1.7%,6.5%,15.7%,43.6%,71.4%,93.7%,98.7%,1.3%
35,中國語文,,總數,人數,41163,40681,,432,1717,4331,13341,24422,36050,39698,983
36,中國語文,,總數,百分比,,,-,1.1%,4.2%,10.6%,32.8%,60.0%,88.6%,97.6%,2.4%
37,中國文學,,男生,人數,274,269,,1,5,23,66,148,224,256,13
38,中國文學,,男生,百分比,,,-,0.4%,1.9%,8.6%,24.5%,55.0%,83.3%,95.2%,4.8%
39,中國文學,,女生,人數,988,969,,17,66,154,390,680,888,948,21
40,中國文學,,女生,百分比,,,-,1.8%,6.8%,15.9%,40.2%,70.2%,91.6%,97.8%,2.2%
41,中國文學,,總數,人數,1262,1238,,18,71,177,456,828,1112,1204,34
42,中國文學,,總數,百分比,,,-,1.5%,5.7%,14.3%,36.8%,66.9%,89.8%,97.3%,2.7%
43,設計與應用科技,,男生,人數,329,310,,2,7,14,39,77,202,274,36
44,設計與應用科技,,男生,百分比,,,97.1,0.6%,2.3%,4.5%,12.6%,24.8%,65.2%,88.4%,11.6%
45,設計與應用科技,,女生,人數,171,167,,0,0,0,24,51,118,145,22
46,設計與應用科技,,女生,百分比,,,92.8,0.0%,0.0%,0.0%,14.4%,30.5%,70.7%,86.8%,13.2%
47,設計與應用科技,,總數,人數,500,477,,2,7,14,63,128,320,419,58
48,設計與應用科技,,總數,百分比,,,95.6,0.4%,1.5%,2.9%,13.2%,26.8%,67.1%,87.8%,12.2%
49,經濟,,男生,人數,5345,5146,,131,424,1035,2425,3476,4375,4878,268
50,經濟,,男生,百分比,,,43.0,2.5%,8.2%,20.1%,47.1%,67.5%,85.0%,94.8%,5.2%
51,經濟,,女生,人數,5791,5656,,88,338,962,2670,3937,4977,5422,234
52,經濟,,女生,百分比,,,34.7,1.6%,6.0%,17.0%,47.2%,69.6%,88.0%,95.9%,4.1%
53,經濟,,總數,人數,11136,10802,,219,762,1997,5095,7413,9352,10300,502
54,經濟,,總數,百分比,,,38.7,2.0%,7.1%,18.5%,47.2%,68.6%,86.6%,95.4%,4.6%
55,英國語文,,男生,人數,21303,20925,,164,700,1770,5148,10526,16029,18837,2088
56,英國語文,,男生,百分比,,,-,0.8%,3.3%,8.5%,24.6%,50.3%,76.6%,90.0%,10.0%
57,英國語文,,女生,人數,21001,20770,,234,911,2248,6153,12056,17489,19756,1014
58,英國語文,,女生,百分比,,,-,1.1%,4.4%,10.8%,29.6%,58.0%,84.2%,95.1%,4.9%
59,英國語文,,總數,人數,42304,41695,,398,1611,4018,11301,22582,33518,38593,3102
60,英國語文,,總數,百分比,,,-,1.0%,3.9%,9.6%,27.1%,54.2%,80.4%,92.6%,7.4%
61,倫理與宗教,,男生,人數,337,315,,1,8,19,79,190,278,301,14
