行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
1,生物,,男生,人數,5370,5210,,134,474,1085,2455,3714,4666,5016,194
2,生物,,男生,百分比,,,42.6,2.6%,9.1%,20.8%,47.1%,71.3%,89.6%,96.3%,3.7%
3,生物,,女生,人數,7378,7245,,119,534,1422,3450,5296,6648,7093,152
4,生物,,女生,百分比,,,35.2,1.6%,7.4%,19.6%,47.6%,73.1%,91.8%,97.9%,2.1%
5,生物,,總數,人數,12748,12455,,253,1008,2507,5905,9010,11314,12109,346
6,生物,,總數,百分比,,,38.3,2.0%,8.1%,20.1%,47.4%,72.3%,90.8%,97.2%,2.8%
7,企業、會計與財務概論,會計,男生,人數,3125,2957,,47,177,414,1278,2035,2658,2862,95
8,企業、會計與財務概論,會計,男生,百分比,,,39.3,1.6%,6.0%,14.0%,43.2%,68.8%,89.9%,96.8%,3.2%
9,企業、會計與財務概論,會計,女生,人數,3949,3863,,48,197,523,1786,2824,3574,3789,74
10,企業、會計與財務概論,會計,女生,百分比,,,30.5,1.2%,5.1%,13.5%,46.2%,73.1%,92.5%,98.1%,1.9%
11,企業、會計與財務概論,會計,總數,人數,7074,6820,,95,374,937,3064,4859,6232,6651,169
12,企業、會計與財務概論,會計,總數,百分比,,,34.3,1.4%,5.5%,13.7%,44.9%,71.2%,91.4%,97.5%,2.5%
13,企業、會計與財務概論,商業管理,男生,人數,1165,1085,,10,28,72,298,588,916,1036,49
14,企業、會計與財務概論,商業管理,男生,百分比,,,76.3,0.9%,2.6%,6.6%,27.5%,54.2%,84.4%,95.5%,4.5%
15,企業、會計與財務概論,商業管理,女生,人數,1366,1323,,8,41,102,419,805,1185,1290,33
16,企業、會計與財務概論,商業管理,女生,百分比,,,71.6,0.6%,3.1%,7.7%,31.7%,60.8%,89.6%,97.5%,2.5%
17,企業、會計與財務概論,商業管理,總數,人數,2531,2408,,18,69,174,717,1393,2101,2326,82
18,企業、會計與財務概論,商業管理,總數,百分比,,,73.7,0.7%,2.9%,7.2%,29.8%,57.8%,87.3%,96.6%,3.4%
19,化學,,男生,人數,6725,6489,,198,775,1812,3510,4972,5694,6195,294
20,化學,,男生,百分比,,,26.7,3.1%,11.9%,27.9%,54.1%,76.6%,87.7%,95.5%,4.5%
21,化學,,女生,人數,5671,5547,,119,521,1392,2943,4258,4908,5353,194
22,化學,,女生,百分比,,,18.5,2.1%,9.4%,25.1%,53.1%,76.8%,88.5%,96.5%,3.5%
23,化學,,總數,人數,12396,12036,,317,1296,3204,6453,9230,10602,11548,488
