行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異,達標或以上,未達標
1,應用學習中文 (非華語學生適用),服務業中文,男生,人數,54,54,9,52,2
2,應用學習中文 (非華語學生適用),服務業中文,男生,百分比,,,16.7%,96.3%,3.7%
3,應用學習中文 (非華語學生適用),服務業中文,女生,人數,59,58,19,56,2
4,應用學習中文 (非華語學生適用),服務業中文,女生,百分比,,,32.8%,96.6%,3.4%
5,應用學習中文 (非華語學生適用),服務業中文,總數,人數,113,112,28,108,4
6,應用學習中文 (非華語學生適用),服務業中文,總數,百分比,,,25.0%,96.4%,3.6%
7,應用學習中文 (非華語學生適用),款待實務中文,男生,人數,23,22,2,14,8
8,應用學習中文 (非華語學生適用),款待實務中文,男生,百分比,,,9.1%,63.6%,36.4%
9,應用學習中文 (非華語學生適用),款待實務中文,女生,人數,19,19,9,17,2
10,應用學習中文 (非華語學生適用),款待實務中文,女生,百分比,,,47.4%,89.5%,10.5%
11,應用學習中文 (非華語學生適用),款待實務中文,總數,人數,42,41,11,31,10
12,應用學習中文 (非華語學生適用),款待實務中文,總數,百分比,,,26.8%,75.6%,24.4%
13,應用學習中文 (非華語學生適用),,男生,人數,77,76,11,66,10
14,應用學習中文 (非華語學生適用),,男生,百分比,,,14.5%,86.8%,13.2%
15,應用學習中文 (非華語學生適用),,女生,人數,78,77,28,73,4
16,應用學習中文 (非華語學生適用),,女生,百分比,,,36.4%,94.8%,5.2%
17,應用學習中文 (非華語學生適用),,總數,人數,155,153,39,139,14
18,應用學習中文 (非華語學生適用),,總數,百分比,,,25.5%,90.8%,9.2%
