行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20298,19990,40288,21387,20788,42175
2,總積點 10 – 12,人數,1666,1500,3166,1756,1564,3320
3,總積點 10 – 12,百分比,8.2%,7.5%,7.9%,8.2%,7.5%,7.9%
4,總積點 13 – 15,人數,2812,2923,5735,2944,3015,5959
5,總積點 13 – 15,百分比,13.9%,14.6%,14.2%,13.8%,14.5%,14.1%
6,總積點 16 – 18,人數,3161,3724,6885,3286,3815,7101
7,總積點 16 – 18,百分比,15.6%,18.6%,17.1%,15.4%,18.4%,16.8%
8,總積點 19 – 21,人數,2559,3293,5852,2629,3354,5983
9,總積點 19 – 21,百分比,12.6%,16.5%,14.5%,12.3%,16.1%,14.2%
10,總積點 22 – 24,人數,1533,1924,3457,1564,1949,3513
11,總積點 22 – 24,百分比,7.6%,9.6%,8.6%,7.3%,9.4%,8.3%
12,總積點 25 – 27,人數,907,1002,1909,925,1020,1945
13,總積點 25 – 27,百分比,4.5%,5.0%,4.7%,4.3%,4.9%,4.6%
14,總積點 28 – 30,人數,574,541,1115,576,548,1124
15,總積點 28 – 30,百分比,2.8%,2.7%,2.8%,2.7%,2.6%,2.7%
16,總積點 31 – 33,人數,269,232,501,271,232,503
17,總積點 31 – 33,百分比,1.3%,1.2%,1.2%,1.3%,1.1%,1.2%
18,總積點 34 – 35,人數,89,45,134,89,45,134
19,總積點 34 – 35,百分比,0.4%,0.2%,0.3%,0.4%,0.2%,0.3%
