行號,項目,類別,肢體活動能力障礙,視障,聽障,語障,特殊學習障礙,自閉症,注意力不足/過度活躍症,精神問題,其他障礙 #,總數
1,出席人數,人數,78,36,152,225,1434,386,446,537,76,3370
2,五科取得2 級或以上,人數,38,27,116,91,426,257,284,343,38,1620
3,五科取得3 級或以上,人數,18,18,72,34,120,132,147,202,27,770
4,五科取得4 級或以上,人數,5,11,36,16,17,55,39,83,8,270
5,五科取得5 級或以上,人數,2,1,9,6,2,12,4,15,4,55
6,於核心科目中取得「2222」或更佳成績,人數,33,25,104,75,260,226,252,327,38,1340
7,於核心科目中取得「2222」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,32,24,102,74,257,221,245,313,36,1304
8,於核心科目中取得「3322」或更佳成績,人數,14,18,68,31,62,124,127,236,25,705
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2 級或以上成績,人數,14,18,68,31,61,124,126,230,24,696
10,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3 級或以上成績,人數,14,18,65,29,58,117,120,205,23,649
