行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20298,19990,40288,21387,20788,42175
2,於四個核心科目中取得2級或以上,人數,13293,14822,28115,13717,15162,28879
3,於四個核心科目中取得2級或以上,百分比,65.5%,74.1%,69.8%,64.1%,72.9%,68.5%
4,於五科甲類學科中取得2級或以上,人數,14889,16011,30900,15466,16422,31888
5,於五科甲類學科中取得2級或以上,百分比,73.4%,80.1%,76.7%,72.3%,79.0%,75.6%
6,於五科甲類學科／乙類學科# 中取得2級或以上,人數,14928,16089,31017,15507,16501,32008
7,於五科甲類學科／乙類學科# 中取得2級或以上,百分比,73.5%,80.5%,77.0%,72.5%,79.4%,75.9%
8,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,人數,13516,15083,28599,13984,15441,29425
9,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,百分比,66.6%,75.5%,71.0%,65.4%,74.3%,69.8%
10,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,人數,13532,15113,28645,14001,15471,29472
11,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,百分比,66.7%,75.6%,71.1%,65.5%,74.4%,69.9%
12,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13265,14642,27907,13710,14977,28687
13,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,65.4%,73.2%,69.3%,64.1%,72.0%,68.0%
14,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13274,14662,27936,13720,14997,28717
15,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,65.4%,73.3%,69.3%,64.2%,72.1%,68.1%
