行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 男生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 女生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 總數,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數
1,考生人數,人數,20298,19990,40288,20298,19990,40288
2,總積點 12 – 14,人數,256,451,707,304,502,806
3,總積點 12 – 14,百分比,1.3%,2.3%,1.8%,1.5%,2.5%,2.0%
4,總積點 15 – 17,人數,1344,1919,3263,1579,2147,3726
5,總積點 15 – 17,百分比,6.6%,9.6%,8.1%,7.8%,10.7%,9.2%
6,總積點 18 – 20,人數,2092,2857,4949,2392,3132,5524
7,總積點 18 – 20,百分比,10.3%,14.3%,12.3%,11.8%,15.7%,13.7%
8,總積點 21 – 23,人數,1659,2277,3936,1651,2138,3789
9,總積點 21 – 23,百分比,8.2%,11.4%,9.8%,8.1%,10.7%,9.4%
10,總積點 24 – 26,人數,1018,1225,2243,952,1105,2057
11,總積點 24 – 26,百分比,5.0%,6.1%,5.6%,4.7%,5.5%,5.1%
12,總積點 27 – 29,人數,640,644,1284,438,534,972
13,總積點 27 – 29,百分比,3.2%,3.2%,3.2%,2.2%,2.7%,2.4%
14,總積點 30 – 32,人數,353,337,690,158,197,355
15,總積點 30 – 32,百分比,1.7%,1.7%,1.7%,0.8%,1.0%,0.9%
16,總積點 33 – 35,人數,158,89,247,46,44,90
17,總積點 33 – 35,百分比,0.8%,0.4%,0.6%,0.2%,0.2%,0.2%
