行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20298,19990,40288,21387,20788,42175
2,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,人數,13570,15184,28754,14040,15542,29582
3,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,百分比,66.9%,76.0%,71.4%,65.6%,74.8%,70.1%
