行號,項目,類別,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 男生,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 女生,全體考生應考最少五科甲類學科／乙類學科 (任何五科#) - 總數,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生,全體考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數
1,考生人數,人數,21387,20788,42175,21387,20788,42175
2,總積點 12 – 14,人數,265,462,727,314,513,827
3,總積點 12 – 14,百分比,1.2%,2.2%,1.7%,1.5%,2.5%,2.0%
4,總積點 15 – 17,人數,1390,1970,3360,1636,2200,3836
5,總積點 15 – 17,百分比,6.5%,9.5%,8.0%,7.6%,10.6%,9.1%
6,總積點 18 – 20,人數,2143,2895,5038,2449,3172,5621
7,總積點 18 – 20,百分比,10.0%,13.9%,11.9%,11.5%,15.3%,13.3%
8,總積點 21 – 23,人數,1694,2306,4000,1674,2171,3845
9,總積點 21 – 23,百分比,7.9%,11.1%,9.5%,7.8%,10.4%,9.1%
10,總積點 24 – 26,人數,1031,1247,2278,964,1121,2085
11,總積點 24 – 26,百分比,4.8%,6.0%,5.4%,4.5%,5.4%,4.9%
12,總積點 27 – 29,人數,646,650,1296,442,538,980
13,總積點 27 – 29,百分比,3.0%,3.1%,3.1%,2.1%,2.6%,2.3%
14,總積點 30 – 32,人數,356,338,694,158,198,356
15,總積點 30 – 32,百分比,1.7%,1.6%,1.6%,0.7%,1.0%,0.8%
16,總積點 33 – 35,人數,158,89,247,46,44,90
17,總積點 33 – 35,百分比,0.7%,0.4%,0.6%,0.2%,0.2%,0.2%
