行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20298,19990,40288,21387,20788,42175
2,總積點 10 – 12,人數,29,52,81,30,54,84
3,總積點 10 – 12,百分比,0.1%,0.3%,0.2%,0.1%,0.3%,0.2%
4,總積點 13 – 15,人數,532,867,1399,548,886,1434
5,總積點 13 – 15,百分比,2.6%,4.3%,3.5%,2.6%,4.3%,3.4%
6,總積點 16 – 18,人數,1736,2417,4153,1799,2474,4273
7,總積點 16 – 18,百分比,8.6%,12.1%,10.3%,8.4%,11.9%,10.1%
8,總積點 19 – 21,人數,2044,2863,4907,2085,2901,4986
9,總積點 19 – 21,百分比,10.1%,14.3%,12.2%,9.7%,14.0%,11.8%
10,總積點 22 – 24,人數,1405,1831,3236,1431,1853,3284
11,總積點 22 – 24,百分比,6.9%,9.2%,8.0%,6.7%,8.9%,7.8%
12,總積點 25 – 27,人數,874,993,1867,887,1011,1898
13,總積點 25 – 27,百分比,4.3%,5.0%,4.6%,4.1%,4.9%,4.5%
14,總積點 28 – 30,人數,562,540,1102,564,546,1110
15,總積點 28 – 30,百分比,2.8%,2.7%,2.7%,2.6%,2.6%,2.6%
16,總積點 31 – 33,人數,267,231,498,268,231,499
17,總積點 31 – 33,百分比,1.3%,1.2%,1.2%,1.3%,1.1%,1.2%
18,總積點 34 – 35,人數,89,45,134,89,45,134
19,總積點 34 – 35,百分比,0.4%,0.2%,0.3%,0.4%,0.2%,0.3%
