行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20298,19990,40288,21387,20788,42175
2,五科取得5** 級,人數,41,20,61,41,20,61
3,五科取得5** 級,百分比,0.2%,0.1%,0.2%,0.2%,0.1%,0.1%
4,五科取得5* 級或以上,人數,303,259,562,303,259,562
5,五科取得5* 級或以上,百分比,1.5%,1.3%,1.4%,1.4%,1.2%,1.3%
6,五科取得5 級或以上,人數,1083,1075,2158,1090,1086,2176
7,五科取得5 級或以上,百分比,5.3%,5.4%,5.4%,5.1%,5.2%,5.2%
8,五科取得4 級或以上,人數,3884,4740,8624,3954,4800,8754
9,五科取得4 級或以上,百分比,19.1%,23.7%,21.4%,18.5%,23.1%,20.8%
10,五科取得3 級或以上,人數,8626,10192,18818,8874,10381,19255
11,五科取得3 級或以上,百分比,42.5%,51.0%,46.7%,41.5%,49.9%,45.7%
12,五科取得2 級或以上,人數,14928,16089,31017,15507,16501,32008
13,五科取得2 級或以上,百分比,73.5%,80.5%,77.0%,72.5%,79.4%,75.9%
14,五科取得1 級或以上,人數,18197,18629,36826,19045,19258,38303
15,五科取得1 級或以上,百分比,89.6%,93.2%,91.4%,89.0%,92.6%,90.8%
16,四科取得1 級或以上,人數,19190,19337,38527,20116,20032,40148
17,四科取得1 級或以上,百分比,94.5%,96.7%,95.6%,94.1%,96.4%,95.2%
18,三科取得1 級或以上,人數,19685,19687,39372,20660,20419,41079
19,三科取得1 級或以上,百分比,97.0%,98.5%,97.7%,96.6%,98.2%,97.4%
20,兩科取得1 級或以上,人數,19999,19852,39851,21018,20617,41635
21,兩科取得1 級或以上,百分比,98.5%,99.3%,98.9%,98.3%,99.2%,98.7%
22,一科取得1 級或以上,人數,20201,19939,40140,21254,20720,41974
23,一科取得1 級或以上,百分比,99.5%,99.7%,99.6%,99.4%,99.7%,99.5%
