行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數
1,考生人數,人數,20821,20375,41196,24666,23225,47891
2,於核心科目中取得「3322」或更佳成績,人數,7540,9844,17384,7713,10020,17733
3,於核心科目中取得「3322」或更佳成績,百分比,36.2%,48.3%,42.2%,31.3%,43.1%,37.0%
4,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,人數,7520,9799,17319,7683,9957,17640
5,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,百分比,36.1%,48.1%,42.0%,31.1%,42.9%,36.8%
6,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,人數,7204,9350,16554,7341,9480,16821
7,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,百分比,34.6%,45.9%,40.2%,29.8%,40.8%,35.1%
8,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,7277,9268,16545,7433,9408,16841
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,35.0%,45.5%,40.2%,30.1%,40.5%,35.2%
10,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6460,7911,14371,6579,8017,14596
11,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,31.0%,38.8%,34.9%,26.7%,34.5%,30.5%
12,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,6921,8413,15334,7061,8537,15598
13,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,33.2%,41.3%,37.2%,28.6%,36.8%,32.6%
14,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6253,7432,13685,6364,7527,13891
15,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,30.0%,36.5%,33.2%,25.8%,32.4%,29.0%
16,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,人數,6224,7412,13636,6343,7503,13846
17,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,百分比,29.9%,36.4%,33.1%,25.7%,32.3%,28.9%
18,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,人數,4649,5088,9737,4721,5146,9867
19,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,百分比,22.3%,25.0%,23.6%,19.1%,22.2%,20.6%
20,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,人數,3607,3562,7169,3662,3605,7267
21,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,百分比,17.3%,17.5%,17.4%,14.8%,15.5%,15.2%
22,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,人數,2182,1787,3969,2209,1806,4015
23,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,百分比,10.5%,8.8%,9.6%,9.0%,7.8%,8.4%
24,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2679,1581,4260,2713,1601,4314
25,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,12.9%,7.8%,10.3%,11.0%,6.9%,9.0%
26,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2459,1384,3843,2487,1400,3887
27,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,11.8%,6.8%,9.3%,10.1%,6.0%,8.1%
28,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,人數,2445,1370,3815,2473,1386,3859
29,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,百分比,11.7%,6.7%,9.3%,10.0%,6.0%,8.1%
