行號,項目,類別,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 男生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 女生,日校考生應考最少六科甲類學科／乙類學科 (任何六科#) - 總數,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 男生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 女生,日校考生應考最少六科甲類學科／乙類學科 (四個核心科目及兩個選修科目) - 總數
1,考生人數,人數,17771,18181,35952,17771,18181,35952
2,總積點 16 – 18,人數,192,222,414,198,227,425
3,總積點 16 – 18,百分比,1.1%,1.2%,1.2%,1.1%,1.2%,1.2%
4,總積點 19 – 21,人數,1232,1534,2766,1255,1556,2811
5,總積點 19 – 21,百分比,6.9%,8.4%,7.7%,7.1%,8.6%,7.8%
6,總積點 22 – 24,人數,1718,2304,4022,1789,2358,4147
7,總積點 22 – 24,百分比,9.7%,12.7%,11.2%,10.1%,13.0%,11.5%
8,總積點 25 – 27,人數,1303,1745,3048,1354,1750,3104
9,總積點 25 – 27,百分比,7.3%,9.6%,8.5%,7.6%,9.6%,8.6%
10,總積點 28 – 30,人數,881,1018,1899,921,1024,1945
11,總積點 28 – 30,百分比,5.0%,5.6%,5.3%,5.2%,5.6%,5.4%
12,總積點 31 – 33,人數,558,574,1132,521,566,1087
13,總積點 31 – 33,百分比,3.1%,3.2%,3.1%,2.9%,3.1%,3.0%
14,總積點 34 – 36,人數,337,336,673,274,297,571
15,總積點 34 – 36,百分比,1.9%,1.8%,1.9%,1.5%,1.6%,1.6%
16,總積點 37 – 39,人數,173,140,313,113,106,219
17,總積點 37 – 39,百分比,1.0%,0.8%,0.9%,0.6%,0.6%,0.6%
18,總積點 40 – 42,人數,66,38,104,35,27,62
19,總積點 40 – 42,百分比,0.4%,0.2%,0.3%,0.2%,0.1%,0.2%
