行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20550,20533,41083,21768,21428,43196
2,五科取得5** 級,人數,43,32,75,43,32,75
3,五科取得5** 級,百分比,0.2%,0.2%,0.2%,0.2%,0.1%,0.2%
4,五科取得5* 級或以上,人數,307,313,620,310,313,623
5,五科取得5* 級或以上,百分比,1.5%,1.5%,1.5%,1.4%,1.5%,1.4%
6,五科取得5 級或以上,人數,1019,1172,2191,1031,1180,2211
7,五科取得5 級或以上,百分比,5.0%,5.7%,5.3%,4.7%,5.5%,5.1%
8,五科取得4 級或以上,人數,4036,5052,9088,4113,5122,9235
9,五科取得4 級或以上,百分比,19.6%,24.6%,22.1%,18.9%,23.9%,21.4%
10,五科取得3 級或以上,人數,8840,10721,19561,9108,10953,20061
11,五科取得3 級或以上,百分比,43.0%,52.2%,47.6%,41.8%,51.1%,46.4%
12,五科取得2 級或以上,人數,15143,16719,31862,15813,17234,33047
13,五科取得2 級或以上,百分比,73.7%,81.4%,77.6%,72.6%,80.4%,76.5%
14,五科取得1 級或以上,人數,18481,19175,37656,19480,19909,39389
15,五科取得1 級或以上,百分比,89.9%,93.4%,91.7%,89.5%,92.9%,91.2%
16,四科取得1 級或以上,人數,19507,19905,39412,20588,20713,41301
17,四科取得1 級或以上,百分比,94.9%,96.9%,95.9%,94.6%,96.7%,95.6%
18,三科取得1 級或以上,人數,19975,20253,40228,21111,21103,42214
19,三科取得1 級或以上,百分比,97.2%,98.6%,97.9%,97.0%,98.5%,97.7%
20,兩科取得1 級或以上,人數,20267,20419,40686,21426,21286,42712
21,兩科取得1 級或以上,百分比,98.6%,99.4%,99.0%,98.4%,99.3%,98.9%
22,一科取得1 級或以上,人數,20439,20489,40928,21624,21376,43000
23,一科取得1 級或以上,百分比,99.5%,99.8%,99.6%,99.3%,99.8%,99.5%
