行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20550,20533,41083,21768,21428,43196
2,總積點 10 – 12,人數,39,47,86,43,49,92
3,總積點 10 – 12,百分比,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%
4,總積點 13 – 15,人數,490,909,1399,510,935,1445
5,總積點 13 – 15,百分比,2.4%,4.4%,3.4%,2.3%,4.4%,3.3%
6,總積點 16 – 18,人數,1644,2513,4157,1691,2565,4256
7,總積點 16 – 18,百分比,8.0%,12.2%,10.1%,7.8%,12.0%,9.9%
8,總積點 19 – 21,人數,2074,3062,5136,2132,3116,5248
9,總積點 19 – 21,百分比,10.1%,14.9%,12.5%,9.8%,14.5%,12.1%
10,總積點 22 – 24,人數,1526,1942,3468,1548,1965,3513
11,總積點 22 – 24,百分比,7.4%,9.5%,8.4%,7.1%,9.2%,8.1%
12,總積點 25 – 27,人數,894,1002,1896,915,1015,1930
13,總積點 25 – 27,百分比,4.4%,4.9%,4.6%,4.2%,4.7%,4.5%
14,總積點 28 – 30,人數,489,531,1020,496,537,1033
15,總積點 28 – 30,百分比,2.4%,2.6%,2.5%,2.3%,2.5%,2.4%
16,總積點 31 – 33,人數,266,270,536,270,272,542
17,總積點 31 – 33,百分比,1.3%,1.3%,1.3%,1.2%,1.3%,1.3%
18,總積點 34 – 35,人數,92,69,161,92,69,161
19,總積點 34 – 35,百分比,0.4%,0.3%,0.4%,0.4%,0.3%,0.4%
