行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20550,20533,41083,21768,21428,43196
2,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,人數,13895,15847,29742,14461,16295,30756
3,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,百分比,67.6%,77.2%,72.4%,66.4%,76.0%,71.2%
