行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 男生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 女生,日校考生應考最少五科甲類學科／乙類學科 (任何五科#) - 總數,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 男生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 女生,日校考生應考最少五科甲類學科／乙類學科 (四個核心科目及一個選修科目) - 總數
1,考生人數,人數,20550,20533,41083,20550,20533,41083
2,總積點 12 – 14,人數,250,426,676,301,503,804
3,總積點 12 – 14,百分比,1.2%,2.1%,1.6%,1.5%,2.4%,2.0%
4,總積點 15 – 17,人數,1314,2079,3393,1526,2281,3807
5,總積點 15 – 17,百分比,6.4%,10.1%,8.3%,7.4%,11.1%,9.3%
6,總積點 18 – 20,人數,1968,3000,4968,2357,3293,5650
7,總積點 18 – 20,百分比,9.6%,14.6%,12.1%,11.5%,16.0%,13.8%
8,總積點 21 – 23,人數,1799,2439,4238,1763,2275,4038
9,總積點 21 – 23,百分比,8.8%,11.9%,10.3%,8.6%,11.1%,9.8%
10,總積點 24 – 26,人數,1069,1229,2298,931,1136,2067
11,總積點 24 – 26,百分比,5.2%,6.0%,5.6%,4.5%,5.5%,5.0%
12,總積點 27 – 29,人數,605,671,1276,415,543,958
13,總積點 27 – 29,百分比,2.9%,3.3%,3.1%,2.0%,2.6%,2.3%
14,總積點 30 – 32,人數,342,348,690,154,225,379
15,總積點 30 – 32,百分比,1.7%,1.7%,1.7%,0.7%,1.1%,0.9%
16,總積點 33 – 35,人數,152,124,276,52,60,112
17,總積點 33 – 35,百分比,0.7%,0.6%,0.7%,0.3%,0.3%,0.3%
