行號,項目,類別,日校考生 - 男生,日校考生 - 女生,日校考生 - 總數,全體考生 - 男生,全體考生 - 女生,全體考生 - 總數
1,考生人數,人數,21147,20881,42028,25576,24400,49976
2,於核心科目中取得「3322」或更佳成績,人數,7517,10350,17867,7708,10537,18245
3,於核心科目中取得「3322」或更佳成績,百分比,35.5%,49.6%,42.5%,30.1%,43.2%,36.5%
4,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,人數,7499,10316,17815,7680,10492,18172
5,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得2級或以上# 成績,百分比,35.5%,49.4%,42.4%,30.0%,43.0%,36.4%
6,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,人數,7172,9851,17023,7317,9999,17316
7,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得2級或以上# 成績,百分比,33.9%,47.2%,40.5%,28.6%,41.0%,34.6%
8,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,7286,9850,17136,7457,10011,17468
9,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,34.5%,47.2%,40.8%,29.2%,41.0%,35.0%
10,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6503,8490,14993,6629,8613,15242
11,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,30.8%,40.7%,35.7%,25.9%,35.3%,30.5%
12,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,人數,6893,8865,15758,7049,9008,16057
13,於核心科目中取得「3332」或更佳成績，並於一個選修科目取得3級或以上# 成績,百分比,32.6%,42.5%,37.5%,27.6%,36.9%,32.1%
14,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,人數,6276,7911,14187,6393,8021,14414
15,於核心科目中取得「3332」或更佳成績，並於兩個選修科目取得3級或以上# 成績,百分比,29.7%,37.9%,33.8%,25.0%,32.9%,28.8%
16,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,人數,6268,7834,14102,6404,7947,14351
17,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得4級或以上# 成績,百分比,29.6%,37.5%,33.6%,25.0%,32.6%,28.7%
18,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,人數,4781,5356,10137,4867,5418,10285
19,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得4級或以上# 成績,百分比,22.6%,25.7%,24.1%,19.0%,22.2%,20.6%
20,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,人數,3704,3718,7422,3772,3760,7532
21,於核心科目中取得「3322」或更佳成績，並於一個選修科目取得5級或以上成績,百分比,17.5%,17.8%,17.7%,14.7%,15.4%,15.1%
22,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,人數,2206,1875,4081,2245,1889,4134
23,於核心科目中取得「3322」或更佳成績，並於兩個選修科目取得5級或以上成績,百分比,10.4%,9.0%,9.7%,8.8%,7.7%,8.3%
24,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2663,1551,4214,2714,1573,4287
25,於核心科目中取得「3322」或更佳成績，數學延伸部分取得2級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,12.6%,7.4%,10.0%,10.6%,6.4%,8.6%
26,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,人數,2452,1384,3836,2494,1402,3896
27,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得2級或以上# 成績,百分比,11.6%,6.6%,9.1%,9.8%,5.7%,7.8%
28,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,人數,2444,1375,3819,2486,1392,3878
29,於核心科目中取得「3322」或更佳成績，數學延伸部分取得3級或以上成績，並於一個選修科目取得3級或以上# 成績,百分比,11.6%,6.6%,9.1%,9.7%,5.7%,7.8%
