行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20550,20533,41083,21768,21428,43196
2,於四個核心科目中取得2級或以上,人數,13564,15351,28915,14085,15765,29850
3,於四個核心科目中取得2級或以上,百分比,66.0%,74.8%,70.4%,64.7%,73.6%,69.1%
4,於五科甲類學科中取得2級或以上,人數,15106,16634,31740,15775,17148,32923
5,於五科甲類學科中取得2級或以上,百分比,73.5%,81.0%,77.3%,72.5%,80.0%,76.2%
6,於五科甲類學科／乙類學科# 中取得2級或以上,人數,15143,16719,31862,15813,17234,33047
7,於五科甲類學科／乙類學科# 中取得2級或以上,百分比,73.7%,81.4%,77.6%,72.6%,80.4%,76.5%
8,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,人數,13846,15731,29577,14411,16177,30588
9,於五科甲類學科中取得2級或以上，其中包括中國語文科及英國語文科,百分比,67.4%,76.6%,72.0%,66.2%,75.5%,70.8%
10,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,人數,13858,15769,29627,14423,16216,30639
11,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科及英國語文科,百分比,67.4%,76.8%,72.1%,66.3%,75.7%,70.9%
12,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13542,15204,28746,14082,15624,29706
13,於五科甲類學科中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,65.9%,74.0%,70.0%,64.7%,72.9%,68.8%
14,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,人數,13545,15219,28764,14085,15640,29725
15,於五科甲類學科／乙類學科# 中取得2級或以上，其中包括中國語文科、英國語文科及數學科,百分比,65.9%,74.1%,70.0%,64.7%,73.0%,68.8%
