行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科 - 男生,日校考生應考最少五科甲類學科／乙類學科 - 女生,日校考生應考最少五科甲類學科／乙類學科 - 總數,全體考生應考最少五科甲類學科／乙類學科 - 男生,全體考生應考最少五科甲類學科／乙類學科 - 女生,全體考生應考最少五科甲類學科／乙類學科 - 總數
1,考生人數,人數,20020,19539,39559,21896,21013,42909
2,五科取得5** 級,人數,30,16,46,30,17,47
3,五科取得5** 級,百分比,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%
4,五科取得5* 級或以上,人數,241,234,475,245,242,487
5,五科取得5* 級或以上,百分比,1.2%,1.2%,1.2%,1.1%,1.2%,1.1%
6,五科取得5 級或以上,人數,857,899,1756,877,925,1802
7,五科取得5 級或以上,百分比,4.3%,4.6%,4.4%,4.0%,4.4%,4.2%
8,五科取得4 級或以上,人數,3220,3495,6715,3328,3616,6944
9,五科取得4 級或以上,百分比,16.1%,17.9%,17.0%,15.2%,17.2%,16.2%
10,五科取得3 級或以上,人數,7756,8300,16056,8109,8664,16773
11,五科取得3 級或以上,百分比,38.7%,42.5%,40.6%,37.0%,41.2%,39.1%
12,五科取得2 級或以上,人數,15881,16200,32081,17077,17195,34272
13,五科取得2 級或以上,百分比,79.3%,82.9%,81.1%,78.0%,81.8%,79.9%
14,五科取得1 級或以上,人數,17939,18112,36051,19464,19364,38828
15,五科取得1 級或以上,百分比,89.6%,92.7%,91.1%,88.9%,92.2%,90.5%
16,四科取得1 級或以上,人數,18834,18750,37584,20502,20090,40592
17,四科取得1 級或以上,百分比,94.1%,96.0%,95.0%,93.6%,95.6%,94.6%
18,三科取得1 級或以上,人數,19348,19122,38470,21091,20522,41613
19,三科取得1 級或以上,百分比,96.6%,97.9%,97.2%,96.3%,97.7%,97.0%
20,兩科取得1 級或以上,人數,19672,19358,39030,21467,20793,42260
21,兩科取得1 級或以上,百分比,98.3%,99.1%,98.7%,98.0%,99.0%,98.5%
22,一科取得1 級或以上,人數,19890,19485,39375,21726,20944,42670
23,一科取得1 級或以上,百分比,99.4%,99.7%,99.5%,99.2%,99.7%,99.4%
