行號,項目,類別,日校考生應考最少五科甲類學科／乙類學科# - 男生,日校考生應考最少五科甲類學科／乙類學科# - 女生,日校考生應考最少五科甲類學科／乙類學科# - 總數,全體考生應考最少五科甲類學科／乙類學科# - 男生,全體考生應考最少五科甲類學科／乙類學科# - 女生,全體考生應考最少五科甲類學科／乙類學科# - 總數
1,考生人數,人數,20024,19543,39567,21947,21028,42975
2,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,人數,14612,15305,29917,15684,16213,31897
3,於五科甲類學科中取得 2 級或以上／於乙類學科取得「達標」或以上成績，其中包括中國語文科及英國語文科,百分比,73.0%,78.3%,75.6%,71.5%,77.1%,74.2%
